Problem,Win Length,Extra Routes,Times,Dist,Dels/route,Len Route,Time Route
P-n23-k8,10,0.2125,1368,930.5015556,2.268041237,42.29552525,62.18181818
P-n40-k5,10,0.08,1761.8,1508.895221,7.222222222,38.68962104,45.17435897
P-n45-k5,10,0.32,2087.8,1822.604769,6.666666667,41.42283566,47.45
P-n50-k7,10,0.128571429,2289,1912.687282,6.202531646,39.03443434,46.71428571
P-n50-k8,10,0.275,2451.9,1958.866796,4.803921569,39.97687339,50.03877551
P-n50-k10,10,0.3,2696.4,2059.440723,3.769230769,42.02940251,55.02857143
P-n51-k10,10,0.29,2685.9,2120.562792,3.875968992,42.41125583,53.718
P-n55-k7,10,0.171428571,2500.6,2121.024196,6.585365854,39.27822585,46.30740741
P-n55-k8,10,0.05,2511.5,2106.66259,6.428571429,39.01227019,46.50925926
P-n55-k10,10,0.24,2634,2197.222526,4.35483871,40.68930605,48.77777778
P-n55-k15,10,0.28,3210.3,2406.271771,2.8125,44.56058835,59.45
P-n60-k10,10,0.3,3013.3,2530.387174,4.538461538,42.88791821,51.07288136
P-n60-k15,10,0.2,3496.4,2714.56023,3.277777778,46.00949542,59.26101695
P-n65-k10,10,0.23,3374.9,2904.158257,5.203252033,45.37747277,52.7328125
P-n70-k10,10,0.42,3488,3185.486699,4.85915493,46.1664739,50.55072464
P-n76-k4,10,1.15,3437.2,3312.767085,8.720930233,44.1702278,45.82933333
P-n76-k5,10,0.5,3565.5,3430.367121,10,45.73822829,47.54
P-n101-k4,10,1.55,4988.7,4933.463612,9.803921569,49.33463612,49.887
P-n16-k8,11,0,996.7,695.0262862,1.875,46.33508575,66.44666667
P-n19-k2,11,0.15,632.3,515.047978,7.826086957,28.61377656,35.12777778
P-n20-k2,11,0.1,630.9,568.0429124,8.636363636,29.89699539,33.20526316
P-n21-k2,11,0.15,608.5,585.0154789,8.695652174,29.25077395,30.425
P-n22-k2,11,0.1,647.2,617.0328461,9.545454545,29.38251648,30.81904762
P-n22-k8,11,0.175,1462.8,1017.013609,2.234042553,48.42921948,69.65714286
P-n23-k8,11,0.2,1362.2,936.1631846,2.291666667,42.55287203,61.91818182
P-n40-k5,11,0.2,1621.5,1496.59677,6.5,38.37427615,41.57692308
P-n45-k5,11,0.3,1872.8,1836.064265,6.769230769,41.72873329,42.56363636
P-n50-k7,11,0.185714286,2118.7,1915.429917,5.903614458,39.09040647,43.23877551
P-n50-k8,11,0.475,2215.7,1956.575604,4.152542373,39.93011437,45.21836735
P-n50-k10,11,0.26,2387.3,2013.86593,3.888888889,41.09930469,48.72040816
P-n51-k10,11,0.29,2487,2192.223853,3.875968992,43.84447706,49.74
P-n55-k7,11,0.128571429,2264,2131.306253,6.835443038,39.46863432,41.92592593
P-n55-k8,11,0.2375,2314.6,2108.260305,5.454545455,39.04185751,42.86296296
P-n55-k10,11,0.06,2495.3,2178.013414,5.094339623,40.33358174,46.20925926
P-n55-k15,11,0.266666667,2843.1,2344.642846,2.842105263,43.41931196,52.65
P-n60-k10,11,0.23,2740.9,2534.086576,4.796747967,42.95061994,46.4559322
P-n60-k15,11,0.273333333,3123.5,2669.553376,3.089005236,45.24666738,52.94067797
P-n65-k10,11,0.31,3070.5,2864.076468,4.885496183,44.75119481,47.9765625
P-n70-k10,11,0.31,3384.8,3166.163198,5.267175573,45.88642316,49.05507246
P-n76-k4,11,1.1,3280.7,3439.41286,8.928571429,45.85883814,43.74266667
P-n76-k5,11,0.74,3306.8,3415.185265,8.620689655,45.53580354,44.09066667
P-n101-k4,11,1.1,4433.1,4750.799678,11.9047619,47.50799678,44.331
P-n16-k8,12,0,803.5,697.6395923,1.875,46.50930615,53.56666667
P-n19-k2,12,0.15,558.4,508.9628021,7.826086957,28.27571123,31.02222222
P-n20-k2,12,0.1,573.2,560.1170626,8.636363636,29.4798454,30.16842105
P-n21-k2,12,0.25,616.1,581.6039432,8,29.08019716,30.805
P-n22-k2,12,0.1,616.7,604.72453,9.545454545,28.79640619,29.36666667
P-n22-k8,12,0.225,1138.3,1022.265048,2.142857143,48.67928801,54.2047619
P-n23-k8,12,0.2125,1079.2,929.5145358,2.268041237,42.25066072,49.05454545
P-n40-k5,12,0.14,1502.1,1532.399393,6.842105263,39.29229212,38.51538462
P-n45-k5,12,0.2,1748.5,1808.594661,7.333333333,41.10442412,39.73863636
P-n50-k7,12,0.214285714,1923.8,1881.005082,5.764705882,38.38785881,39.26122449
P-n50-k8,12,0.3625,2069.6,1964.136817,4.495412844,40.08442484,42.23673469
P-n50-k10,12,0.23,2104,1991.848503,3.983739837,40.64996945,42.93877551
P-n51-k10,12,0.33,2272,2175.030852,3.759398496,43.50061703,45.44
P-n55-k7,12,0.185714286,2140.2,2124.941173,6.506024096,39.35076246,39.63333333
P-n55-k8,12,0.2,2171,2146.369716,5.625,39.74758734,40.2037037
P-n55-k10,12,0.24,2357.6,2266.458529,4.35483871,41.97145425,43.65925926
P-n55-k15,12,0.266666667,2732.6,2387.375343,2.842105263,44.21065449,50.6037037
P-n60-k10,12,0.24,2553.9,2513.681084,4.758064516,42.60476414,43.28644068
P-n60-k15,12,0.18,2882.3,2746.145284,3.333333333,46.54483532,48.85254237
P-n65-k10,12,0.34,2918.7,2882.671551,4.776119403,45.04174299,45.6046875
P-n70-k10,12,0.32,3071.5,3144.113196,5.227272727,45.56685791,44.51449275
P-n76-k4,12,0.8,3109.8,3386.992467,10.41666667,45.15989956,41.464
P-n76-k5,12,0.84,3180.1,3445.693661,8.152173913,45.94258214,42.40133333
P-n101-k4,12,0.9,4463.5,4981.021805,13.15789474,49.81021805,44.635
P-n16-k8,13,0,746.6,696.0063325,1.875,46.40042216,49.77333333
P-n19-k2,13,0.2,546.1,519.7651033,7.5,28.87583907,30.33888889
P-n20-k2,13,0.3,581.7,558.8774,7.307692308,29.4146,30.61578947
P-n21-k2,13,0.15,598.3,603.9561154,8.695652174,30.19780577,29.915
P-n22-k2,13,0.15,633.1,625.878958,9.130434783,29.8037599,30.14761905
P-n22-k8,13,0.1875,1091.7,1009.825349,2.210526316,48.08692138,51.98571429
P-n23-k8,13,0.225,1036.6,932.3909041,2.244897959,42.38140473,47.11818182
P-n40-k5,13,0.16,1472.2,1536.058477,6.724137931,39.38611479,37.74871795
P-n45-k5,13,0.16,1728.7,1841.287562,7.586206897,41.8474446,39.28863636
P-n50-k7,13,0.285714286,1882.9,1923.237045,5.444444444,39.24973561,38.42653061
P-n50-k8,13,0.225,1937.8,1982.86604,5,40.46665387,39.54693878
P-n50-k10,13,0.22,1983.5,1958.509958,4.016393443,39.96959097,40.47959184
P-n51-k10,13,0.42,2183.9,2179.062358,3.521126761,43.58124716,43.678
P-n55-k7,13,0.414285714,2082.1,2178.842747,5.454545455,40.34893976,38.55740741
P-n55-k8,13,0.1625,2045.1,2102.512904,5.806451613,38.93542414,37.87222222
P-n55-k10,13,0.28,2170.2,2177.117589,4.21875,40.31699239,40.18888889
P-n55-k15,13,0.306666667,2451.6,2352.119491,2.755102041,43.55776835,45.4
P-n60-k10,13,0.26,2505.8,2585.897893,4.682539683,43.82877785,42.47118644
P-n60-k15,13,0.246666667,2729.4,2712.020961,3.155080214,45.96645696,46.26101695
P-n65-k10,13,0.4,2736.8,2821.47346,4.571428571,44.08552281,42.7625
P-n70-k10,13,0.35,2999.5,3175.563209,5.111111111,46.0226552,43.47101449
P-n76-k4,13,0.525,2925.6,3274.609024,12.29508197,43.66145366,39.008
P-n76-k5,13,0.92,3065.9,3398.71473,7.8125,45.3161964,40.87866667
P-n101-k4,13,0.8,4182.6,4777.510574,13.88888889,47.77510574,41.826
P-n16-k8,14,0,743.6,692.1522087,1.875,46.14348058,49.57333333
P-n19-k2,14,0.4,529,529.6073574,6.428571429,29.42263096,29.38888889
P-n20-k2,14,0.1,537.8,546.9194708,8.636363636,28.7852353,28.30526316
P-n21-k2,14,0.25,589.6,604.5219831,8,30.22609916,29.48
P-n22-k2,14,0.1,606.7,634.6286291,9.545454545,30.22041091,28.89047619
P-n22-k8,14,0.2,1042.4,1025.741406,2.1875,48.84482887,49.63809524
P-n23-k8,14,0.2625,977.5,926.1782529,2.178217822,42.0990115,44.43181818
P-n40-k5,14,0.02,1377.9,1489.717839,7.647058824,38.1978933,35.33076923
P-n45-k5,14,0.42,1756.1,1910.131265,6.197183099,43.41207421,39.91136364
P-n50-k7,14,0.214285714,1788.1,1913.449852,5.764705882,39.04999698,36.49183673
P-n50-k8,14,0.3125,1868,1966.506226,4.666666667,40.13278012,38.12244898
P-n50-k10,14,0.22,1924.2,2014.5486,4.016393443,41.11323674,39.26938776
P-n51-k10,14,0.25,2053.1,2149.302312,4,42.98604625,41.062
P-n55-k7,14,0.228571429,1960,2112.054267,6.279069767,39.11211605,36.2962963
P-n55-k8,14,0.125,2026.9,2196.286846,6,40.67197862,37.53518519
P-n55-k10,14,0.17,2096.3,2230.242051,4.615384615,41.30077871,38.82037037
P-n55-k15,14,0.26,2341.8,2396.864476,2.857142857,44.38637918,43.36666667
P-n60-k10,14,0.22,2380.2,2544.842287,4.836065574,43.13292013,40.34237288
P-n60-k15,14,0.146666667,2569.7,2678.767142,3.430232558,45.40283292,43.55423729
P-n65-k10,14,0.24,2668,2889.777352,5.161290323,45.15277112,41.6875
P-n70-k10,14,0.25,2845.3,3089.512087,5.52,44.77553749,41.23623188
P-n76-k4,14,0.8,3021.4,3402.309449,10.41666667,45.36412599,40.28533333
P-n76-k5,14,0.86,3045.7,3396.213242,8.064516129,45.28284323,40.60933333
P-n101-k4,14,1.425,4232.6,4829.739613,10.30927835,48.29739613,42.326
P-n16-k8,2,0,2290,697.8112452,1.875,46.52074968,152.6666667
P-n19-k2,2,1.2,2109.6,661.4944447,4.090909091,36.74969137,117.2
P-n20-k2,2,1.4,2074.5,670.7974097,3.958333333,35.30512683,109.1842105
P-n21-k2,2,1.75,2242,721.8095071,3.636363636,36.09047535,112.1
P-n22-k2,2,1.8,2640.3,738.8093986,3.75,35.18139993,125.7285714
P-n22-k8,2,0.35,2999.4,1061.829438,1.944444444,50.56330659,142.8285714
P-n23-k8,2,0.3375,3055.5,966.7624541,2.056074766,43.94374791,138.8863636
P-n40-k5,2,1.66,5364.9,1639.434027,2.932330827,42.03676993,137.5615385
P-n45-k5,2,2.06,6216.2,2016.781192,2.875816993,45.83593619,141.2772727
P-n50-k7,2,1.514285714,7008.5,2092.413041,2.784090909,42.70230697,143.0306122
P-n50-k8,2,1.1875,7300.1,2077.312739,2.8,42.39413754,148.9816327
P-n50-k10,2,0.92,7513.6,2102.837161,2.552083333,42.91504411,153.3387755
P-n51-k10,2,0.86,7626.2,2319.227315,2.688172043,46.3845463,152.524
P-n55-k7,2,1.714285714,8324.7,2333.895679,2.842105263,43.22029034,154.1611111
P-n55-k8,2,1.5125,8075.1,2394.616067,2.686567164,44.34474197,149.5388889
P-n55-k10,2,0.93,8208.7,2323.563135,2.797927461,43.02894694,152.012963
P-n55-k15,2,0.64,8386.8,2452.090195,2.195121951,45.40907768,155.3111111
P-n60-k10,2,1.16,8972.7,2726.291835,2.731481481,46.20833619,152.079661
P-n60-k15,2,0.693333333,8404.4,2732.479427,2.322834646,46.31321063,142.4474576
P-n65-k10,2,1.46,9455.3,3090.50941,2.601626016,48.28920953,147.7390625
P-n70-k10,2,1.79,10753.8,3323.744078,2.47311828,48.17020403,155.8521739
P-n76-k4,2,6.575,11616.4,3733.68168,2.475247525,49.7824224,154.8853333
P-n76-k5,2,4.56,11381.2,3727.008682,2.697841727,49.6934491,151.7493333
P-n101-k4,2,8.425,14906.5,5269.845192,2.652519894,52.69845192,149.065
P-n16-k8,3,0,1930.3,697.0193003,1.875,46.46795335,128.6866667
P-n19-k2,3,1.4,2179.6,677.69746,3.75,37.64985889,121.0888889
P-n20-k2,3,1.4,2301.7,709.6209085,3.958333333,37.34846887,121.1421053
P-n21-k2,3,1.05,1825.3,677.4714143,4.87804878,33.87357071,91.265
P-n22-k2,3,1.45,2251.8,712.1867596,4.285714286,33.91365522,107.2285714
P-n22-k8,3,0.2625,2792.9,1027.562487,2.079207921,48.93154698,132.9952381
P-n23-k8,3,0.3,2728.9,954.4313802,2.115384615,43.38324455,124.0409091
P-n40-k5,3,1.52,5114.1,1695.558993,3.095238095,43.47587161,131.1307692
P-n45-k5,3,1.62,5615.9,1987.071347,3.358778626,45.16071243,127.6340909
P-n50-k7,3,1.385714286,6526,2082.744551,2.934131737,42.50499084,133.1836735
P-n50-k8,3,1.0625,6381.9,2057.670206,2.96969697,41.99326951,130.2428571
P-n50-k10,3,0.71,6499.4,2113.351683,2.865497076,43.12962619,132.6408163
P-n51-k10,3,0.83,6550.6,2314.305236,2.732240437,46.28610473,131.012
P-n55-k7,3,1.585714286,7505.8,2304.32175,2.983425414,42.672625,138.9962963
P-n55-k8,3,1.2625,7254,2365.60486,2.983425414,43.80749742,134.3333333
P-n55-k10,3,0.91,7676.6,2383.186891,2.827225131,44.13309058,142.1592593
P-n55-k15,3,0.606666667,7122,2423.810181,2.2406639,44.88537371,131.8888889
P-n60-k10,3,1.07,7797.4,2709.873402,2.850241546,45.93005766,132.159322
P-n60-k15,3,0.553333333,8177.1,2782.396924,2.532188841,47.15926991,138.5949153
P-n65-k10,3,1.14,8630.7,3123.398585,2.990654206,48.80310289,134.8546875
P-n70-k10,3,1.32,9048.6,3292.39745,2.974137931,47.71590508,131.1391304
P-n76-k4,3,5.65,9890.7,3679.493219,2.819548872,49.05990959,131.876
P-n76-k5,3,4.06,9811.2,3646.56244,2.964426877,48.62083253,130.816
P-n101-k4,3,7.225,12913.4,5208.663833,3.039513678,52.08663833,129.134
P-n16-k8,4,0,1741.4,697.2570071,1.875,46.48380047,116.0933333
P-n19-k2,4,0.75,1329.8,568.3392004,5.142857143,31.57440002,73.87777778
P-n20-k2,4,1.15,1871.9,663.1491788,4.418604651,34.90258836,98.52105263
P-n21-k2,4,1.15,1730.7,675.6415686,4.651162791,33.78207843,86.535
P-n22-k2,4,1.45,1844.9,735.2072177,4.285714286,35.00986751,87.85238095
P-n22-k8,4,0.2125,2280.4,1041.630398,2.164948454,49.60144753,108.5904762
P-n23-k8,4,0.2875,2458.2,944.8457107,2.13592233,42.94753231,111.7363636
P-n40-k5,4,0.9,3734,1631.062865,4.105263158,41.82212475,95.74358974
P-n45-k5,4,1.6,4384.4,1936.046086,3.384615385,44.0010474,99.64545455
P-n50-k7,4,0.9,4659.7,2039.314973,3.684210526,41.61867291,95.09591837
P-n50-k8,4,0.7375,4492.7,2069.88155,3.525179856,42.2424806,91.6877551
P-n50-k10,4,0.61,4997.4,2100.976102,3.043478261,42.87706331,101.9877551
P-n51-k10,4,0.62,5286.6,2256.587896,3.086419753,45.13175792,105.732
P-n55-k7,4,0.957142857,5039.4,2285.446709,3.941605839,42.32308721,93.32222222
P-n55-k8,4,0.75,5241.9,2226.805615,3.857142857,41.23714102,97.07222222
P-n55-k10,4,0.73,5694.4,2313.367647,3.121387283,42.84014161,105.4518519
P-n55-k15,4,0.44,5534.2,2425.574319,2.5,44.91804295,102.4851852
P-n60-k10,4,0.86,6119.7,2600.771341,3.172043011,44.08087019,103.7237288
P-n60-k15,4,0.5,6159,2745.711378,2.622222222,46.53748098,104.3898305
P-n65-k10,4,0.93,6531.2,3003.042246,3.316062176,46.9225351,102.05
P-n70-k10,4,1.13,7086.7,3298.051154,3.23943662,47.79784281,102.7057971
P-n76-k4,4,4.05,8260.2,3571.119142,3.712871287,47.61492189,110.136
P-n76-k5,4,3.34,8259.2,3652.017177,3.456221198,48.69356236,110.1226667
P-n101-k4,4,6.625,10979.3,5197.357782,3.278688525,51.97357782,109.793
P-n16-k8,5,0,1699,698.0315854,1.875,46.53543903,113.2666667
P-n19-k2,5,0.65,1493.3,534.0457559,5.454545455,29.66920866,82.96111111
P-n20-k2,5,0.7,1565,610.9358865,5.588235294,32.15452034,82.36842105
P-n21-k2,5,0.85,1806.8,640.3190658,5.405405405,32.01595329,90.34
P-n22-k2,5,0.95,1881.2,699.1984865,5.384615385,33.29516602,89.58095238
P-n22-k8,5,0.225,2585.6,1047.596107,2.142857143,49.8855289,123.1238095
P-n23-k8,5,0.1875,2090.9,934.0862174,2.315789474,42.45846443,95.04090909
P-n40-k5,5,0.84,3684,1586.259994,4.239130435,40.67333318,94.46153846
P-n45-k5,5,1.16,4515.1,1935.889431,4.074074074,43.99748706,102.6159091
P-n50-k7,5,1.042857143,4776.6,2023.067174,3.426573427,41.28708519,97.48163265
P-n50-k8,5,0.6375,4861.7,2011.396369,3.740458015,41.04890549,99.21836735
P-n50-k10,5,0.48,5431.4,2110.341249,3.310810811,43.06818876,110.844898
P-n51-k10,5,0.6,5194.1,2281.848549,3.125,45.63697097,103.882
P-n55-k7,5,0.928571429,5445.9,2233.026169,4,41.35233647,100.85
P-n55-k8,5,0.6625,5353,2187.895338,4.060150376,40.51658033,99.12962963
P-n55-k10,5,0.5,5562.8,2243.502782,3.6,41.54634782,103.0148148
P-n55-k15,5,0.4,5633.9,2385.709723,2.571428571,44.17980969,104.3314815
P-n60-k10,5,0.66,5998.2,2597.956667,3.554216867,44.03316384,101.6644068
P-n60-k15,5,0.453333333,5992.4,2781.647201,2.706422018,47.14656273,101.5661017
P-n65-k10,5,0.75,6607.9,2963.10058,3.657142857,46.29844657,103.2484375
P-n70-k10,5,1.03,6859.4,3291.101366,3.399014778,47.69712125,99.4115942
P-n76-k4,5,3.425,7578.1,3519.315688,4.237288136,46.92420917,101.0413333
P-n76-k5,5,2.96,8078.1,3572.562084,3.787878788,47.63416112,107.708
P-n101-k4,5,5.275,10634.7,5216.004051,3.984063745,52.16004051,106.347
P-n16-k8,6,0,1253.8,691.2009686,1.875,46.08006458,83.58666667
P-n19-k2,6,0.55,929.3,527.3564353,5.806451613,29.29757974,51.62777778
P-n20-k2,6,0.5,1036.3,575.8316082,6.333333333,30.30692675,54.54210526
P-n21-k2,6,0.8,1411.1,632.9514975,5.555555556,31.64757488,70.555
P-n22-k2,6,0.95,1503,662.4964155,5.384615385,31.54744836,71.57142857
P-n22-k8,6,0.2375,1747.2,1022.431791,2.121212121,48.68722815,83.2
P-n23-k8,6,0.275,2024,935.8274798,2.156862745,42.53761272,92
P-n40-k5,6,0.68,3241.6,1600.556613,4.642857143,41.03991315,83.11794872
P-n45-k5,6,0.68,3248.6,1868.407947,5.238095238,42.46381698,73.83181818
P-n50-k7,6,0.471428571,3957.5,1986.74912,4.757281553,40.54590041,80.76530612
P-n50-k8,6,0.475,3970.1,1981.603455,4.152542373,40.44088683,81.02244898
P-n50-k10,6,0.32,4068.2,2020.609106,3.712121212,41.23692053,83.0244898
P-n51-k10,6,0.46,4392.8,2188.023085,3.424657534,43.76046169,87.856
P-n55-k7,6,0.5,4363.4,2237.644348,5.142857143,41.43785829,80.8037037
P-n55-k8,6,0.3375,4192.7,2150.973205,5.046728972,39.83283714,77.64259259
P-n55-k10,6,0.42,4608.7,2264.85215,3.802816901,41.94170648,85.3462963
P-n55-k15,6,0.386666667,4945.9,2393.255557,2.596153846,44.31954735,91.59074074
P-n60-k10,6,0.4,4859.5,2473.414232,4.214285714,41.92227512,82.36440678
P-n60-k15,6,0.34,5146.8,2645.278654,2.935323383,44.83523142,87.23389831
P-n65-k10,6,0.6,5406.8,2938.993177,4,45.9217684,84.48125
P-n70-k10,6,0.7,5891.3,3144.71127,4.058823529,45.57552565,85.38115942
P-n76-k4,6,3.15,5902.5,3462.421984,4.518072289,46.16562645,78.7
P-n76-k5,6,1.86,6162.9,3449.68396,5.244755245,45.99578613,82.172
P-n101-k4,6,3.875,8598.3,5090.772193,5.128205128,50.90772193,85.983
P-n16-k8,7,0,1190.4,692.6264684,1.875,46.17509789,79.36
P-n19-k2,7,0.5,875.2,546.6813071,6,30.37118373,48.62222222
P-n20-k2,7,0.15,812.8,560.0197071,8.260869565,29.47472143,42.77894737
P-n21-k2,7,0.5,931.8,614.5831212,6.666666667,30.72915606,46.59
P-n22-k2,7,0.45,888.5,623.4253429,7.24137931,29.68692109,42.30952381
P-n22-k8,7,0.2625,1384.1,1029.935866,2.079207921,49.04456504,65.90952381
P-n23-k8,7,0.275,1925.5,957.1127959,2.156862745,43.50512709,87.52272727
P-n40-k5,7,0.26,2391.4,1519.574054,6.19047619,38.96343729,61.31794872
P-n45-k5,7,0.36,2915.7,1819.91471,6.470588235,41.36169795,66.26590909
P-n50-k7,7,0.171428571,2887.2,1911.090064,5.975609756,39.00183804,58.92244898
P-n50-k8,7,0.475,3030.2,1978.674427,4.152542373,40.38111075,61.84081633
P-n50-k10,7,0.36,3390.6,2059.668815,3.602941176,42.03405746,69.19591837
P-n51-k10,7,0.27,3124,2196.975898,3.937007874,43.93951796,62.48
P-n55-k7,7,0.271428571,3247.8,2153.846765,6.06741573,39.8860512,60.14444444
P-n55-k8,7,0.35,3029.8,2164.391488,5,40.08132386,56.10740741
P-n55-k10,7,0.17,3234.8,2199.846931,4.615384615,40.73790613,59.9037037
P-n55-k15,7,0.306666667,3981.6,2434.557543,2.755102041,45.08439894,73.73333333
P-n60-k10,7,0.31,3596.3,2572.938991,4.503816794,43.60913544,60.95423729
P-n60-k15,7,0.333333333,4044.3,2707.230094,2.95,45.88525584,68.54745763
P-n65-k10,7,0.35,4299.6,2869.998294,4.740740741,44.84372334,67.18125
P-n70-k10,7,0.43,4681.4,3164.315196,4.825174825,45.85964052,67.84637681
P-n76-k4,7,2.275,4990.6,3461.600173,5.72519084,46.15466897,66.54133333
P-n76-k5,7,1.3,4810.7,3406.390045,6.52173913,45.41853394,64.14266667
P-n101-k4,7,3.475,6976.6,5062.239017,5.586592179,50.62239017,69.766
P-n16-k8,8,0,1070.4,694.7541196,1.875,46.31694131,71.36
P-n19-k2,8,0.25,779.7,526.5607494,7.2,29.25337497,43.31666667
P-n20-k2,8,0.2,833.3,559.5479136,7.916666667,29.44989019,43.85789474
P-n21-k2,8,0.3,940.3,582.7750578,7.692307692,29.13875289,47.015
P-n22-k2,8,0.1,798,626.9103447,9.545454545,29.85287356,38
P-n22-k8,8,0.1875,1385,1008.917446,2.210526316,48.04368788,65.95238095
P-n23-k8,8,0.1875,1771.2,937.4750778,2.315789474,42.61250353,80.50909091
P-n40-k5,8,0.32,2216,1528.382275,5.909090909,39.1892891,56.82051282
P-n45-k5,8,0.4,2723.9,1843.084223,6.285714286,41.88827779,61.90681818
P-n50-k7,8,0.271428571,2825.7,1930.032673,5.505617978,39.38842191,57.66734694
P-n50-k8,8,0.475,2932.4,1954.356618,4.152542373,39.88482893,59.84489796
P-n50-k10,8,0.33,3140.5,2031.63548,3.684210526,41.46194857,64.09183673
P-n51-k10,8,0.19,3091.8,2176.983524,4.201680672,43.53967047,61.836
P-n55-k7,8,0.342857143,3288.6,2160.870501,5.744680851,40.01612039,60.9
P-n55-k8,8,0.2,3092.7,2151.829303,5.625,39.8486908,57.27222222
P-n55-k10,8,0.2,3358,2142.22562,4.5,39.67084481,62.18518519
P-n55-k15,8,0.266666667,3740.9,2335.466099,2.842105263,43.24937221,69.27592593
P-n60-k10,8,0.33,3635.6,2575.902184,4.436090226,43.65935906,61.62033898
P-n60-k15,8,0.32,3869.1,2666.405554,2.97979798,45.19331448,65.5779661
P-n65-k10,8,0.34,3916.7,2921.915105,4.776119403,45.65492352,61.1984375
P-n70-k10,8,0.23,4095.5,3145.457824,5.609756098,45.58634527,59.35507246
P-n76-k4,8,2.075,4553.9,3442.358984,6.097560976,45.89811979,60.71866667
P-n76-k5,8,0.88,4427,3437.291872,7.978723404,45.8305583,59.02666667
P-n101-k4,8,2.775,6461.6,4870.551443,6.622516556,48.70551443,64.616
P-n16-k8,9,0,1183.1,690.9542323,1.875,46.06361549,78.87333333
P-n19-k2,9,0.2,793.5,526.4500737,7.5,29.24722632,44.08333333
P-n20-k2,9,0.05,795.6,579.707497,9.047619048,30.51092089,41.87368421
P-n21-k2,9,0.3,733.4,575.6902027,7.692307692,28.78451014,36.67
P-n22-k2,9,0.15,827.3,618.4012878,9.130434783,29.44768037,39.3952381
P-n22-k8,9,0.2,1554.4,1017.70184,2.1875,48.4619924,74.01904762
P-n23-k8,9,0.2375,1704.6,932.5699964,2.222222222,42.38954529,77.48181818
P-n40-k5,9,0.16,1846.2,1510.938211,6.724137931,38.7420054,47.33846154
P-n45-k5,9,0.32,2122.9,1812.044419,6.666666667,41.1828277,48.24772727
P-n50-k7,9,0.3,2435.3,1931.798237,5.384615385,39.42445382,49.7
P-n50-k8,9,0.2875,2673.8,1960.150287,4.757281553,40.00306709,54.56734694
P-n50-k10,9,0.25,2872.3,1981.971303,3.92,40.44839393,58.61836735
P-n51-k10,9,0.35,2942.9,2202.413192,3.703703704,44.04826384,58.858
P-n55-k7,9,0.142857143,2684.9,2158.518134,6.75,39.97255803,49.72037037
P-n55-k8,9,0.1875,2703.4,2162.761848,5.684210526,40.05114534,50.06296296
P-n55-k10,9,0.22,2941.9,2231.403558,4.426229508,41.32228811,54.47962963
P-n55-k15,9,0.22,3634.2,2395.540729,2.950819672,44.36186536,67.3
P-n60-k10,9,0.28,3358.9,2469.769609,4.609375,41.86050184,56.93050847
