Ch2 tests
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,9,cs,4708.381239504588,d=2638.977297110932
v,19,cs,2507.071635519859,d=3177.4443899949747
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,17,cs,2799.1156987423733,d=3003.4403719170273
v,8,cs,6450.202177384545,d=2268.871549767879
v,12,cs,3600.997557602235,d=2537.516461187128
v,10,cs,4661.813474896202,d=2200.1869360366654
v,29,cs,2041.8259350675983,d=3653.7978825872747
v,18,cs,2626.352477344564,d=2915.8738528613135
v,21,cs,2505.213300351179,d=3064.637420707032
v,25,cs,2247.392443164879,d=3391.9310263222
v,19,cs,2573.9367064802327,d=2986.4154976297013
v,22,cs,2371.2844578802465,d=3102.077081458633
v,20,cs,2518.784237846149,d=3099.821286346099
v,26,cs,2153.806975609672,d=3485.836767397591
v,23,cs,2269.603265781363,d=3260.355747361199
v,15,cs,2892.303739261068,d=2821.1083519071253
v,14,cs,3225.613032562939,d=2575.9409922301234
v,11,cs,3802.264516867362,d=2507.4665422571047
v,13,cs,3415.3095694689964,d=2709.795315497243
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,12,cs,3790.4540230826165,d=2520.4445854058526
v,14,cs,3131.7865046314896,d=2492.975148119757
v,18,cs,2644.160159943368,d=3057.1424629032126
v,21,cs,2389.207249787832,d=3282.428990190759
v,20,cs,2452.0939492332986,d=3158.5567141331458
v,11,cs,4231.104408760231,d=2599.539701236871
v,16,cs,2883.185298454136,d=3094.439769665659
v,17,cs,2664.9143567656197,d=2769.1305514686437
v,19,cs,2567.1032922460167,d=3022.532111341836
v,13,cs,3314.1420097514574,d=2699.942735780293
v,32,cs,1870.3789505368368,d=3740.7579010736736
v,27,cs,2164.486522436067,d=3440.374430000235
v,28,cs,2105.877050037705,d=3537.467023239552
v,24,cs,2247.054144506903,d=3369.38112485146
v,10,cs,5086.753207492004,d=2657.516523001868
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,9,cs,4830.393834875425,d=2421.966015193675
v,10,cs,4071.6244050984806,d=2670.829390144483
v,15,cs,2977.164561662673,d=2631.59379900361
v,17,cs,2814.4131106409304,d=2990.5982222821694
v,11,cs,3868.7577212882215,d=2464.546208445012
v,5,cs,7523.943203298475,d=2158.349590788153
v,12,cs,3829.542943425053,d=2429.670798818904
v,22,cs,2349.2127055171204,d=3153.4604703691366
v,20,cs,2537.9059673834186,d=3217.6842741437476
v,13,cs,3335.731479984368,d=2582.5414567442667
v,16,cs,2882.067356301223,d=2886.1027954865876
v,14,cs,3212.192802439841,d=2624.2029420725044
v,19,cs,2572.3881908800367,d=2883.58459826978
v,25,cs,2235.6844763759595,d=3342.558165520444
v,24,cs,2329.9067118517823,d=3370.144894958876
v,21,cs,2445.1091227094435,d=3251.9513908783306
v,18,cs,2644.8185234091484,d=3078.131608195175
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,18,cs,2631.204929671221,d=2874.5861988209604
v,12,cs,3681.312227518708,d=2894.941911129773
v,20,cs,2574.2258470299325,d=3033.676604130476
v,32,cs,1870.3789505368366,d=3740.757901073673
v,24,cs,2279.990201183244,d=3375.9427331496977
v,15,cs,3060.508895055015,d=3065.8879686749347
v,14,cs,3134.647657223201,d=2709.3106912253293
v,16,cs,2927.6725734826127,d=2950.822372810949
v,21,cs,2385.635653524997,d=3310.2924425508204
v,11,cs,4019.165474131278,d=2537.9667543584255
v,8,cs,5139.73671530791,d=2309.853521334089
v,19,cs,2577.165806911286,d=3031.220982486255
v,17,cs,2785.1397581875317,d=2703.153706795927
v,13,cs,3251.3359852610783,d=2703.056144389932
v,10,cs,4361.931211893304,d=2669.966095998608
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,15,cs,2983.594326806894,d=2757.9578858622663
v,25,cs,2196.412834615895,d=3379.5813074627513
v,10,cs,4560.380422927902,d=2552.018718446868
v,11,cs,4084.3685280409686,d=2623.821167874391
v,20,cs,2442.4667650921897,d=3212.7554037009254
v,16,cs,2811.8054751083487,d=2815.978903116728
v,17,cs,2782.952884101412,d=2824.3733660483813
v,19,cs,2616.192822247767,d=2988.090827393078
v,13,cs,3485.4392136491992,d=2729.168285977226
v,12,cs,3539.10857044943,d=2507.3592787604034
v,28,cs,2077.2126991668965,d=3507.7324495421844
v,29,cs,2058.101078279053,d=3454.671697530158
v,26,cs,2176.071008558206,d=3357.466742732308
v,23,cs,2234.4227448765473,d=3379.5323579239357
v,14,cs,3259.886543931699,d=2669.375998007174
v,18,cs,2654.6259325566975,d=2663.3968077105756
v,22,cs,2364.688947231837,d=3230.871476318457
v,21,cs,2438.2526185113325,d=3089.235245242618
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,13,cs,3307.5168828381265,d=2628.7692468242653
v,11,cs,3854.57238150982,d=2580.822834226692
v,9,cs,4851.1213911565665,d=2220.6787375519366
v,21,cs,2385.6641241412985,d=3181.148681631454
v,20,cs,2392.9283210497865,d=3138.8778873925753
v,14,cs,3182.7478604225703,d=2906.2811895395325
v,19,cs,2556.6129614469655,d=2910.7656794390573
v,26,cs,2212.2828852564558,d=3340.1283614453164
v,15,cs,2997.0966975822403,d=2688.2639854912773
v,17,cs,2668.497136863858,d=2925.392435589105
v,16,cs,2857.7850280750686,d=2808.0175538737562
v,12,cs,3461.1474158559486,d=2571.3801134345276
v,10,cs,4275.018652491736,d=2573.3442579313287
./data/A-n32-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 784),
v,10,cs,4611.26996162004,d=2313.991270469485
v,15,cs,2951.9837851289794,d=2700.5596607993857
v,14,cs,3218.4607241669587,d=2857.007383844522
v,17,cs,2765.7778562919325,d=2935.2757173149707
v,21,cs,2403.036827863804,d=3327.523876413028
v,18,cs,2666.4764728154305,d=3096.132187856436
v,11,cs,4148.163039669328,d=2607.1714382385153
v,20,cs,2536.754839920241,d=3197.286935831247
v,23,cs,2351.1114606254077,d=3106.206199152771
v,13,cs,3453.0442279291515,d=2635.4924009663864
v,22,cs,2363.3826572132434,d=3276.424208300412
v,19,cs,2540.701796054097,d=3147.2166766849127
v,12,cs,3538.2102612538183,d=2788.1911292137793
Grand front,A-n32-k5.vrp,n,22,obj0Max,32.0,obj0Min,5.0,obj1Max,7142.3543161506095,obj1Min,1870.378950536836
V,26,CS,2033.465763315378
V,32,CS,1870.378950536836
V,11,CS,3633.355689081253
V,18,CS,2565.014279747743
V,5,CS,7142.3543161506095
V,7,CS,5673.072256134794
V,6,CS,6939.023237627125
V,9,CS,4708.381239504588
V,19,CS,2507.071635519859
V,15,CS,2892.303739261068
V,14,CS,3131.7865046314896
V,17,CS,2664.9143567656197
V,10,CS,4071.6244050984806
V,22,CS,2349.2127055171204
V,21,CS,2385.635653524997
V,8,CS,5139.73671530791
V,13,CS,3251.3359852610783
V,25,CS,2196.412834615895
V,16,CS,2811.8054751083487
V,23,CS,2234.4227448765473
V,20,CS,2392.9283210497865
V,12,CS,3461.1474158559486
./data/A-n33-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 661),
v,20,cs,1785.203353227055,d=2207.1620555714885
v,12,cs,2666.99697956084,d=1698.9628815359088
v,15,cs,2096.016508791224,d=2271.183335598853
v,29,cs,1447.2683054224435,d=2488.643419126125
v,22,cs,1670.7687799868781,d=2412.3689364048105
v,11,cs,2798.415749850128,d=1853.5213152946471
v,14,cs,2420.3799475910496,d=2190.7794416704064
v,13,cs,2500.8684834466108,d=1948.7376688355112
v,18,cs,1859.7248813396845,d=2128.8369350050134
v,27,cs,1530.243389091625,d=2525.786676669697
v,25,cs,1600.7457090207538,d=2460.9523443318576
v,21,cs,1727.1802763804455,d=2276.318858162038
v,9,cs,3451.71404776236,d=1830.824819453591
v,16,cs,2016.1693125097534,d=2135.9303019420736
v,5,cs,5071.058580468509,d=1780.545290839441
v,6,cs,4714.214819807416,d=1874.7735395382247
v,7,cs,4404.463064283231,d=1868.6762595558582
v,10,cs,3053.8792456248584,d=1840.814913487354
v,8,cs,3637.1109603710934,d=1586.0281740617113
./data/A-n33-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 661),
v,18,cs,1965.6803791738632,d=2156.036782494417
v,12,cs,2599.036999772196,d=1946.827556939031
v,24,cs,1577.9256101497197,d=2417.7453312967996
v,15,cs,2101.061070632105,d=2170.614034007532
v,5,cs,4841.910158180144,d=1891.4620526109568
v,8,cs,3834.0236731671066,d=1674.6794917190407
v,13,cs,2438.4233390319123,d=1958.9624705571753
v,16,cs,2050.907885196867,d=2064.4629525831815
v,11,cs,2692.320702304291,d=2156.098014254936
v,22,cs,1689.2471647816972,d=2163.440954677534
v,19,cs,1838.538795207125,d=2355.516383780223
v,14,cs,2263.2591387394036,d=2103.388625282381
v,21,cs,1791.434258095671,d=2254.6325082723483
v,17,cs,1987.3284237441696,d=2180.6481991733917
v,20,cs,1797.557750731397,d=2414.9918438108625
v,9,cs,3634.2404564645913,d=2057.9568754613415
./data/A-n33-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 661),
v,18,cs,1876.322986608373,d=2146.5728106970455
v,19,cs,1841.6209133458037,d=2360.3106920010105
v,17,cs,1974.7274694377115,d=2311.5952948977483
v,29,cs,1384.2103458097895,d=2574.8718141125864
v,25,cs,1557.617277046149,d=2572.9802676271
v,16,cs,2018.3198340381482,d=2081.1222579439823
v,11,cs,2876.6614937248623,d=2085.039165027816
v,20,cs,1833.1761287091626,d=2231.3091848385193
v,12,cs,2384.6120825595053,d=2000.0350588626657
v,15,cs,2080.8650229447803,d=2201.4135574794755
v,8,cs,3596.8215492883346,d=1767.2146762899124
v,10,cs,3255.173737285613,d=2032.6493811384125
v,33,cs,1309.3388372897352,d=2618.6776745794705
v,23,cs,1664.2641043632639,d=2466.232218653551
v,27,cs,1532.8666097527196,d=2469.054477964907
v,21,cs,1730.7956343455078,d=2466.025536072576
v,5,cs,4657.486703189,d=1800.6784820148441
v,7,cs,3981.1184853636523,d=1809.0167365711661
v,13,cs,2345.1931429777514,d=2044.8744910738424
./data/A-n33-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 661),
v,27,cs,1477.8944823564016,d=2476.001451419781
v,13,cs,2451.2905914943894,d=2072.7686719348962
v,11,cs,2999.013194851324,d=1990.6564075529445
v,16,cs,2123.3302500159652,d=2173.973110374303
v,26,cs,1537.7982175064164,d=2481.23220316418
v,15,cs,2284.28262811201,d=2038.293886499469
v,10,cs,3036.4929628380523,d=2021.6053653186505
v,18,cs,1874.8720613956066,d=2156.9023304625134
v,21,cs,1706.2804945693847,d=2383.616545453143
v,17,cs,1954.5387719044747,d=2140.372093075093
v,25,cs,1565.8101023826516,d=2477.653228459529
v,12,cs,2711.6678781669825,d=1984.7407908844414
v,24,cs,1681.5371270525836,d=2227.9012222931256
v,20,cs,1779.339191082506,d=2351.153108062647
v,14,cs,2343.8332363989325,d=2024.13214056226
v,19,cs,1780.1827157739742,d=2184.6362228987405
v,9,cs,3709.1954558748243,d=1903.5228764464723
./data/A-n33-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 661),
v,10,cs,3007.0875783174993,d=2067.45279587155
v,23,cs,1689.6130592716604,d=2501.3447657984907
v,20,cs,1807.300802732088,d=2232.3216527658874
v,19,cs,1836.859525546261,d=2335.1959622302643
v,11,cs,2902.7415728601354,d=1972.2211219526368
v,8,cs,3594.2083031817365,d=2005.9789359873812
v,13,cs,2234.749535513471,d=1987.227529642837
v,18,cs,1884.1716958722225,d=2198.4512079028686
v,9,cs,3196.3688676261204,d=2038.932199330974
v,16,cs,1986.533963714893,d=2231.9116438137007
v,22,cs,1756.5831542545623,d=2339.486446358009
v,25,cs,1607.5386591715474,d=2355.0387371493016
v,24,cs,1651.2458409808391,d=2311.7149550581653
v,21,cs,1795.353339390847,d=2384.7220519054445
v,12,cs,2678.6582865379,d=2056.5393609382068
./data/A-n33-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 661),
v,16,cs,2016.3316354810756,d=2181.745061777169
v,15,cs,2172.6250796247587,d=2133.6600627369694
v,27,cs,1529.821374028043,d=2406.1826364835215
v,14,cs,2273.2745317098966,d=2188.5848201009517
v,13,cs,2369.252993763286,d=2127.6185571584992
v,12,cs,2659.3251280246222,d=2183.828940701519
v,23,cs,1672.192746259205,d=2413.2611549112034
v,17,cs,1991.4668025336973,d=2174.6432489145254
v,20,cs,1779.877303380759,d=2295.7038596780817
v,5,cs,4631.608534185862,d=1930.8118939998853
v,9,cs,3533.3556543820296,d=1909.8535014084096
v,10,cs,3082.8072107776957,d=1896.5763825375302
v,18,cs,1923.0700018355888,d=2199.5369765392884
v,21,cs,1759.4712281568495,d=2305.0157337216597
v,33,cs,1309.3388372897355,d=2618.677674579471
v,28,cs,1469.7751003491712,d=2435.6871723236427
v,29,cs,1380.5097163504072,d=2531.756751192363
v,22,cs,1701.4441640275609,d=2436.2402886242025
v,26,cs,1603.1064107728391,d=2533.578697722509
v,24,cs,1616.8349210044205,d=2347.691975158217
v,19,cs,1818.9835100087816,d=2248.5131644061707
./data/A-n33-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 661),
v,17,cs,1926.5297683522672,d=2091.702838244864
v,13,cs,2337.494320183742,d=2058.682476177681
v,23,cs,1716.4100037887124,d=2334.9190902465893
v,11,cs,2972.4008023215965,d=2017.4322874504928
v,19,cs,1865.3506710027282,d=2258.3409428844843
v,16,cs,2105.6933161677257,d=2137.9978176556087
v,14,cs,2285.4169545893537,d=1859.6295585548864
v,12,cs,2820.482848810422,d=1903.2922484158132
v,15,cs,2144.327083157688,d=2207.272373459754
v,24,cs,1654.0305846710417,d=2513.1278066308423
v,20,cs,1835.0417831844775,d=2225.333764360606
v,21,cs,1785.0089368793272,d=2317.1655867551844
v,10,cs,3605.1785939553065,d=2005.0559896819423
v,22,cs,1724.2522862222324,d=2294.562002841754
./data/A-n33-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 661),
v,17,cs,2006.1934035590152,d=2214.0777510770695
v,16,cs,2063.7212492059152,d=2165.6451310281805
v,19,cs,1821.3709466453022,d=2236.074593468109
v,13,cs,2435.2969303683735,d=1841.1057883108595
v,15,cs,2225.4697473344168,d=2007.3065008632257
v,9,cs,3592.1671567696512,d=1678.4164877773796
v,8,cs,4048.3698198634333,d=1827.6066973793918
v,12,cs,2674.287356114505,d=1972.9473563068766
v,14,cs,2422.450452524413,d=2008.167334257934
v,11,cs,3030.5028894732905,d=1972.7565954281617
v,10,cs,3482.4983513946017,d=1956.9254566040863
v,23,cs,1675.8428575699897,d=2393.6966207087894
v,26,cs,1603.0014252248438,d=2413.5012542365266
v,22,cs,1701.261583947767,d=2388.410104721618
v,18,cs,1847.8278744476622,d=2267.2131804643577
v,21,cs,1748.042257393443,d=2369.4027499061463
v,20,cs,1767.2470571373108,d=2231.02031166056
./data/A-n33-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 661),
v,17,cs,1856.4791649084507,d=2428.110066121571
v,12,cs,2688.1583041331096,d=2052.0329126728066
v,24,cs,1635.2808846875178,d=2343.767416587346
v,13,cs,2492.9772262334322,d=2034.240293655409
v,8,cs,4037.277067516761,d=1841.3179752125957
v,10,cs,3174.661605335588,d=2092.3667428220633
v,9,cs,3729.993566379279,d=1827.630182602745
v,11,cs,3011.7658318041194,d=2049.5666042154594
v,23,cs,1715.993743212574,d=2288.4200908994962
v,21,cs,1778.0069041623492,d=2303.0604679325597
v,25,cs,1599.9618961936858,d=2402.1853158336507
v,20,cs,1801.1100023386057,d=2253.0432359073334
v,22,cs,1729.3753086331708,d=2334.8757036274146
v,14,cs,2158.0123034351886,d=2049.7628881145683
v,16,cs,2021.6955105041745,d=2346.9345246117464
v,15,cs,2081.519378642618,d=2087.755147358334
./data/A-n33-k5.vrp,COMMENT : (Augerat et al, Min no of trucks: 5, Optimal value: 661),
v,21,cs,1762.9196943882823,d=2220.7422981242444
v,15,cs,2136.9296743867135,d=2237.7643094270525
v,13,cs,2322.023560838592,d=1920.1566899674588
v,16,cs,2072.235575629565,d=2170.453466745843
v,14,cs,2253.1459445658593,d=2100.126328110316
v,20,cs,1818.2748295551037,d=2353.9057989752937
v,11,cs,2822.523994212866,d=1956.972006567074
v,19,cs,1886.6183089605472,d=2366.574982778075
v,26,cs,1505.3274770052499,d=2548.4896246475946
v,28,cs,1459.7556106684603,d=2450.538840214859
v,18,cs,1913.9080734135252,d=2130.5080881619297
v,24,cs,1607.4695179947935,d=2401.7329982187593
v,22,cs,1729.4072409756104,d=2271.422497628859
v,5,cs,4916.834756214976,d=1738.1771426677785
v,8,cs,3992.2760873354882,d=2014.599230290215
v,10,cs,3041.021788974302,d=2077.836606529516
v,17,cs,1996.0880303672786,d=1959.060606518177
v,23,cs,1618.211606569762,d=2395.2986761721686
v,12,cs,2560.6835601929156,d=1966.592641902312
Grand front,A-n33-k5.vrp,n,25,obj0Max,33.0,obj0Min,5.0,obj1Max,4631.608534185862,obj1Min,1309.3388372897352
V,22,CS,1670.7687799868781
V,24,CS,1577.9256101497197
V,11,CS,2692.320702304291
V,25,CS,1557.617277046149
V,12,CS,2384.6120825595053
V,15,CS,2080.8650229447803
V,33,CS,1309.3388372897352
V,7,CS,3981.1184853636523
V,27,CS,1477.8944823564016
V,21,CS,1706.2804945693847
V,19,CS,1780.1827157739742
V,10,CS,3007.0875783174993
V,8,CS,3594.2083031817365
V,13,CS,2234.749535513471
V,9,CS,3196.3688676261204
V,16,CS,1986.533963714893
V,5,CS,4631.608534185862
V,29,CS,1380.5097163504072
V,18,CS,1847.8278744476622
V,20,CS,1767.2470571373108
V,17,CS,1856.4791649084507
V,14,CS,2158.0123034351886
V,26,CS,1505.3274770052499
V,28,CS,1459.7556106684603
V,23,CS,1618.211606569762
./data/A-n33-k6.vrp,COMMENT : (Augerat et al, Min no of trucks: 6, Optimal value: 742),
v,20,cs,1757.474320255353,d=2191.5453224903586
v,15,cs,2130.099876047429,d=1948.273891790052
v,16,cs,2026.3142905529996,d=1971.1396116810229
v,18,cs,1851.1291142011353,d=2129.743429680169
v,13,cs,2521.4375791318666,d=1753.9543757777083
v,14,cs,2254.5425678384763,d=1903.2793791034137
v,19,cs,1815.1479513926452,d=2103.1742931302856
v,12,cs,2545.107427507687,d=1937.433432572914
v,21,cs,1663.5685187426486,d=2360.0971393062646
v,9,cs,3646.595851629675,d=1822.617595655378
v,8,cs,4081.8047132876677,d=1852.5526055042196
v,11,cs,2857.798685693379,d=1924.4965303434135
v,17,cs,1875.3405558791667,d=2108.897704170757
v,22,cs,1638.0529730866785,d=2258.4853299117985
v,25,cs,1522.6366942190732,d=2239.48482152861
v,24,cs,1538.4136551818385,d=2362.9493301320435
v,27,cs,1441.7475624460587,d=2410.834340924047
./data/A-n33-k6.vrp,COMMENT : (Augerat et al, Min no of trucks: 6, Optimal value: 742),
v,18,cs,1808.3427538494363,d=2044.9470661565058
v,23,cs,1597.5956183154642,d=2308.343233523654
v,27,cs,1485.6943377847674,d=2451.3157372921432
v,24,cs,1545.760468596543,d=2289.3673337428845
v,17,cs,1959.7450001076083,d=2163.393857045601
v,20,cs,1728.2781394265526,d=2147.0183978963955
v,11,cs,2835.7253394793174,d=1862.5703859338746
v,16,cs,2043.1122026729406,d=2259.4708139154973
v,13,cs,2434.5279664626787,d=2090.9350854041822
v,15,cs,2066.136332814482,d=2004.3890664684322
v,33,cs,1272.046612165979,d=2544.093224331958
v,22,cs,1699.2010661080249,d=2325.734749671778
v,9,cs,3363.6585069214543,d=1924.9360782329204
v,12,cs,2602.3649882310556,d=1925.1892314091217
v,14,cs,2287.695368126146,d=2106.276630497452
./data/A-n33-k6.vrp,COMMENT : (Augerat et al, Min no of trucks: 6, Optimal value: 742),
v,14,cs,2229.7512656037356,d=2041.2326787464176
v,18,cs,1855.9632706048315,d=2101.706128496562
v,16,cs,2001.6174436904573,d=1975.0782053824496
v,19,cs,1837.998092627905,d=2007.3542127010107
v,6,cs,4306.284095934875,d=1707.0647810407781
v,12,cs,2584.879480994853,d=1875.8453133232056
v,22,cs,1630.399263802067,d=2282.851465245892
v,20,cs,1752.7309891336233,d=2158.1873698597724
v,15,cs,2027.267768178705,d=2119.5332528682893
v,24,cs,1599.311423239367,d=2300.09553529268
v,17,cs,1933.482774632901,d=2065.4411548727635
v,13,cs,2466.6497155091,d=2056.3656175280466
v,21,cs,1733.5179325919928,d=2278.530169221667
v,11,cs,2696.647330453879,d=1805.0452913850547
v,33,cs,1272.046612165979,d=2544.093224331958
v,26,cs,1553.674698522411,d=2334.955208335579
v,27,cs,1512.862261369362,d=2332.985390105972
./data/A-n33-k6.vrp,COMMENT : (Augerat et al, Min no of trucks: 6, Optimal value: 742),
v,17,cs,1882.9680120657008,d=2231.404553653152
v,22,cs,1611.6012102226166,d=2260.9112545448133
v,7,cs,3720.0541050484285,d=1852.6322580628657
v,16,cs,2007.6477193113258,d=2034.8764232226852
v,18,cs,1748.4485332306117,d=2145.3008257897673
v,33,cs,1272.0466121659792,d=2544.0932243319585
v,29,cs,1354.9904606752289,d=2513.6092272348797
v,21,cs,1722.2610361209288,d=2363.6579155289096
v,11,cs,2703.541410429222,d=2016.1313137713328
v,14,cs,2292.6498281783647,d=2092.9450868408503
v,13,cs,2381.778673642824,d=1922.432469159862
v,15,cs,2107.9926212435303,d=1882.6846519872518
v,25,cs,1540.811461266943,d=2251.4664876624397
v,26,cs,1473.7888213204028,d=2372.4103916300787
v,24,cs,1554.481320457206,d=2362.0871580643725
./data/A-n33-k6.vrp,COMMENT : (Augerat et al, Min no of trucks: 6, Optimal value: 742),
v,17,cs,1913.9580687287353,d=2061.292974356348
v,18,cs,1777.1351215366824,d=2198.331071122918
v,20,cs,1717.3306448417304,d=2193.7001415444606
v,26,cs,1470.6992335969815,d=2391.7857252952713
v,16,cs,2046.219975665009,d=2238.942257501181
v,9,cs,4021.2513145754465,d=1903.3008587701227
v,13,cs,2608.470318051692,d=2062.5341137019705
v,14,cs,2162.828282190108,d=2135.203913344235
v,23,cs,1524.9391117761666,d=2343.549877630904
v,22,cs,1662.3653431092703,d=2252.2572909165965
v,33,cs,1272.0466121659788,d=2544.0932243319576
v,11,cs,2726.8811810024226,d=1895.2915485417786
./data/A-n33-k6.vrp,COMMENT : (Augerat et al, Min no of trucks: 6, Optimal value: 742),
v,8,cs,3252.4869940016806,d=1838.4656299800158
v,28,cs,1548.855824311237,d=2533.9893616549966
v,16,cs,2039.4024002664073,d=2084.118544526913
v,18,cs,1864.8095059344334,d=2206.723286498044
v,23,cs,1682.1559206287575,d=2304.8212670119337
v,14,cs,2224.128753535381,d=1984.5628987982
v,10,cs,2972.023801125023,d=1712.35925154998
v,21,cs,1739.133923555587,d=2328.8786538758723
v,22,cs,1728.83071988644,d=2306.071216438346
v,17,cs,1922.9768910090972,d=2086.148362232613
v,20,cs,1766.8811915348522,d=2283.379001295225
v,6,cs,4786.038490999876,d=1422.0590122002657
v,9,cs,3242.319739870863,d=1683.2267495579488
v,19,cs,1822.1429243551986,d=2238.2042431306595
v,12,cs,2382.861069161862,d=2095.996979951479
v,11,cs,2784.565859151691,d=1825.0984636402432
v,15,cs,2114.018179442329,d=2170.6741765222673
./data/A-n33-k6.vrp,COMMENT : (Augerat et al, Min no of trucks: 6, Optimal value: 742),
v,14,cs,2326.037840224395,d=2175.169331212698
v,19,cs,1811.9269197639703,d=2208.6955744666457
v,15,cs,2114.4870534387055,d=2128.840440698296
v,16,cs,1995.9233035750387,d=1905.7419549696237
v,18,cs,1894.910924292004,d=2073.204227383537
v,12,cs,2512.1356487417693,d=1815.3700268964876
v,10,cs,2775.482261581455,d=1702.040994681528
v,9,cs,3661.827463910015,d=1797.48511554055
v,28,cs,1458.5253476872197,d=2365.58951258589
v,23,cs,1646.9699316245926,d=2260.9962621574937
v,24,cs,1601.885609405742,d=2367.983601352061
v,27,cs,1506.3087264027158,d=2343.741211602549
v,25,cs,1516.9694629378832,d=2324.795784111624
v,13,cs,2461.1391473524914,d=2116.9354594527504
v,17,cs,1921.7153508454817,d=2157.5577632903055
v,22,cs,1657.0152090590987,d=2123.188836340867
v,11,cs,2703.8586628954877,d=2006.33734136
v,20,cs,1700.3899872809995,d=2143.1069708080677
v,21,cs,1695.4704833066999,d=2334.724925491789
./data/A-n33-k6.vrp,COMMENT : (Augerat et al, Min no of trucks: 6, Optimal value: 742),
