Dimensions,9,,,,,,,,,,,,,,,,,,
Normalised,5,,,,,,,,,,,,,,,,,,
Evals,1000000,,,,,,,,,,,,,,,,,,
key,dist,emissions,byMD,MDs in use,Time,WalkDels,CycleDels,EvanDels,fixed cost,running cost,actual emissions,actual byMd,Actual MDs in use,Actual Time,Actual WalkDels,Actual CycleDels,Actual EvanDels,Actual fixed cost,Actual running cost
2:5:1:4:1:3:3:3:5,0.606558946,2,5,1,4,1,3,3,3,5,0.332568336,1,0.142857143,0.718553586,0.04,0.48,0.48,0.45,0.916396113
2:5:1:5:1:2:3:3:4,0.387518604,2,5,1,5,1,2,3,3,4,0.261866979,0.96,0.114285714,0.896756793,0.12,0.36,0.48,0.58,0.661675734
2:4:1:2:1:2:2:2:3,0.225528461,2,4,1,2,1,2,2,2,3,0.249069593,0.72,0.085714286,0.268160374,1.00E-05,0.36,0.36,0.42,0.486090912
2:5:1:4:1:3:1:3:4,0.467283711,2,5,1,4,1,3,1,3,4,0.279758665,0.96,0.171428571,0.772294944,0.16,0.6,0.2,0.47,0.71522224
1:5:1:2:1:1:5:3:3,0.245818377,1,5,1,2,1,1,5,3,3,0.065647249,1,0.028571429,0.264990584,1.00E-05,1.00E-05,1,0.55,0.495821687
2:5:1:4:1:3:2:3:4,0.43056789,2,5,1,4,1,3,2,3,4,0.273241956,0.96,0.142857143,0.692982924,0.04,0.56,0.36,0.45,0.685395726
2:3:1:4:1:3:1:1:3,0.243875647,2,3,1,4,1,3,1,1,3,0.254531433,0.64,0.057142857,0.67094602,0.08,0.56,1.00E-05,0.15,0.465656908
2:5:1:5:2:1:4:3:4,0.390454654,2,5,1,5,2,1,4,3,4,0.243006308,1,0.114285714,0.88666378,0.24,1.00E-05,0.76,0.57,0.692927978
2:5:1:5:2:1:3:3:4,0.396043816,2,5,1,5,2,1,3,3,4,0.227477582,0.92,0.114285714,1,0.28,1.00E-05,0.64,0.57,0.678838771
2:5:1:5:2:3:1:3:5,0.598220146,2,5,1,5,2,3,1,3,5,0.36054969,0.96,0.2,1,0.28,0.52,0.16,0.47,0.889987817
2:3:1:5:1:1:3:2:3,0.238794536,2,3,1,5,1,1,3,2,3,0.289911644,0.6,0.057142857,0.896756793,0.04,1.00E-05,0.56,0.26,0.52780448
2:4:1:3:1:3:2:3:5,0.582589431,2,4,1,3,1,3,2,3,5,0.329617349,0.76,0.171428571,0.462846723,1.00E-05,0.48,0.28,0.61,0.89337216
2:4:1:1:1:1:4:4:4,0.334888442,2,4,1,1,1,1,4,4,4,0.276101965,0.68,0.028571429,0.03480262,1.00E-05,1.00E-05,0.68,0.7,0.668068931
1:4:1:5:1:1:4:3:4,0.388489424,1,4,1,5,1,1,4,3,4,0.199180487,0.88,0.028571429,0.926243003,0.12,1.00E-05,0.76,0.56,0.683297931
2:5:1:5:1:3:1:3:5,0.584590316,2,5,1,5,1,3,1,3,5,0.361981631,0.92,0.114285714,1,0.2,0.52,0.2,0.46,0.884520649
3:2:1:2:1:1:2:2:3,0.168336373,3,2,1,2,1,1,2,2,3,0.446497104,0.36,0.028571429,0.261996138,1.00E-05,1.00E-05,0.36,0.25,0.515161187
2:5:1:5:1:1:4:3:5,0.537005167,2,5,1,5,1,1,4,3,5,0.332059251,0.96,0.142857143,1,0.08,1.00E-05,0.88,0.57,0.894931646
2:5:1:5:1:3:2:4:5,0.591784966,2,5,1,5,1,3,2,4,5,0.278196634,1,0.171428571,1,0.08,0.48,0.44,0.75,0.899569036
2:5:1:2:1:2:3:4:5,0.549349091,2,5,1,2,1,2,3,4,5,0.365462676,0.96,0.114285714,0.295111804,1.00E-05,0.4,0.56,0.74,0.895077924
1:5:1:2:1:2:4:3:4,0.399073767,1,5,1,2,1,2,4,3,4,0.206688217,1,0.085714286,0.428313444,1.00E-05,0.32,0.68,0.57,0.672030684
2:5:1:4:1:1:4:2:4,0.364852862,2,5,1,4,1,1,4,2,4,0.285679507,0.96,0.085714286,0.850054158,0.12,1.00E-05,0.84,0.41,0.685307582
2:5:1:5:1:1:4:3:4,0.366101155,2,5,1,5,1,1,4,3,4,0.235375933,0.96,0.085714286,1,0.12,1.00E-05,0.84,0.56,0.66085819
2:5:1:3:1:2:3:2:4,0.381995327,2,5,1,3,1,2,3,2,4,0.300370065,0.96,0.057142857,0.535462195,1.00E-05,0.36,0.6,0.27,0.670172699
2:5:1:2:1:1:4:4:5,0.521450747,2,5,1,2,1,1,4,4,5,0.285332369,0.92,0.114285714,0.382818438,0.04,1.00E-05,0.88,0.71,0.884074067
2:5:1:5:1:2:2:4:5,0.575292344,2,5,1,5,1,2,2,4,5,0.291184053,0.92,0.114285714,0.950353719,0.12,0.36,0.44,0.73,0.883299565
2:3:1:5:1:1:2:2:3,0.214223369,2,3,1,5,1,1,2,2,3,0.342627566,0.52,0.057142857,1,0.12,1.00E-05,0.4,0.26,0.512790847
2:5:1:5:1:1:3:3:4,0.391345538,2,5,1,5,1,1,3,3,4,0.223422375,0.92,0.114285714,1,0.16,0.16,0.6,0.58,0.662606123
1:5:1:1:1:1:4:3:3,0.262173713,1,5,1,1,1,1,4,3,3,0.170327775,1,0.114285714,1.00E-05,1.00E-05,0.12,0.88,0.57,0.530318984
2:5:1:5:2:1:2:3:5,0.586213637,2,5,1,5,2,1,2,3,5,0.318703539,0.92,0.142857143,1,0.28,0.2,0.44,0.59,0.91094676
2:5:1:2:1:4:2:3:4,0.396370273,2,5,1,2,1,4,2,3,4,0.247132565,0.96,0.114285714,0.286684372,1.00E-05,0.68,0.28,0.59,0.673269682
2:5:1:3:1:1:4:3:5,0.520720701,2,5,1,3,1,1,4,3,5,0.348158152,0.96,0.114285714,0.504017072,1.00E-05,0.12,0.84,0.57,0.899768662
2:5:1:3:1:2:3:2:3,0.308432705,2,5,1,3,1,2,3,2,3,0.266009575,0.96,0.085714286,0.457695615,1.00E-05,0.32,0.64,0.42,0.576588127
2:5:1:5:1:2:2:3:5,0.573086069,2,5,1,5,1,2,2,3,5,0.361677546,0.96,0.142857143,1,0.16,0.4,0.4,0.61,0.881543283
1:5:1:3:1:1:4:3:4,0.371490285,1,5,1,3,1,1,4,3,4,0.189149592,0.92,0.028571429,0.560635147,0.04,1.00E-05,0.88,0.56,0.667690895
2:4:1:5:2:3:1:3:4,0.458823536,2,4,1,5,2,3,1,3,4,0.248466191,0.88,0.142857143,1,0.28,0.52,0.08,0.48,0.692872079
2:4:1:4:1:1:3:2:3,0.193653759,2,4,1,4,1,1,3,2,3,0.269728924,0.68,0.085714286,0.67094602,0.08,1.00E-05,0.6,0.41,0.472111156
2:3:1:5:1:1:1:2:4,0.331287136,2,3,1,5,1,1,1,2,4,0.43662556,0.48,0.085714286,1,0.2,0.08,0.2,0.29,0.661194881
2:4:1:5:2:1:2:3:4,0.393059994,2,4,1,5,2,1,2,3,4,0.27918306,0.84,0.142857143,1,0.32,0.08,0.44,0.45,0.661351045
2:4:1:5:2:1:3:3:4,0.401439006,2,4,1,5,2,1,3,3,4,0.292111942,0.8,0.085714286,1,0.28,1.00E-05,0.52,0.57,0.693400242
2:4:1:3:1:2:2:2:3,0.201853099,2,4,1,3,1,2,2,2,3,0.255857588,0.68,0.085714286,0.523120099,0.08,0.36,0.24,0.28,0.449847376
2:4:1:4:1:3:2:2:3,0.327458003,2,4,1,4,1,3,2,2,3,0.288283281,0.88,0.114285714,0.695710665,0.08,0.52,0.28,0.3,0.59084513
1:5:1:5:1:1:5:4:5,0.554686858,1,5,1,5,1,1,5,4,5,0.19840914,0.96,0.057142857,0.893673354,0.04,1.00E-05,0.92,0.86,0.887559256
2:5:1:5:2:2:2:2:5,0.64098368,2,5,1,5,2,2,2,2,5,0.357720844,0.96,0.171428571,1,0.28,0.36,0.32,0.34,0.903915264
1:5:1:5:2:1:3:3:4,0.435815684,1,5,1,5,2,1,3,3,4,0.19753631,1,0.085714286,0.992982776,0.24,0.12,0.64,0.59,0.685721712
2:5:1:5:1:1:5:3:4,0.369993054,2,5,1,5,1,1,5,3,4,0.220404303,1,0.085714286,0.999928162,0.04,1.00E-05,0.96,0.56,0.667670462
2:5:1:5:2:1:4:4:5,0.553074207,2,5,1,5,2,1,4,4,5,0.235331301,1,0.114285714,1,0.24,1.00E-05,0.76,0.71,0.88552543
2:5:1:1:1:1:5:4:4,0.326827819,2,5,1,1,1,1,5,4,4,0.299809962,0.92,0.114285714,0.08395645,1.00E-05,1.00E-05,0.92,0.7,0.665307067
3:2:1:2:1:1:1:2:3,0.18360249,3,2,1,2,1,1,1,2,3,0.444822818,0.28,0.057142857,0.285016744,0.12,1.00E-05,0.16,0.26,0.520111369
2:5:1:5:1:4:1:2:4,0.45620656,2,5,1,5,1,4,1,2,4,0.332384585,0.92,0.142857143,0.89820882,0.04,0.68,0.2,0.32,0.718965434
2:5:1:3:1:3:2:2:4,0.428052653,2,5,1,3,1,3,2,2,4,0.305230006,0.96,0.114285714,0.565917835,1.00E-05,0.52,0.44,0.33,0.692915654
1:5:1:5:2:1:3:3:5,0.63585454,1,5,1,5,2,1,3,3,5,0.20704305,1,0.114285714,1,0.36,0.16,0.48,0.6,0.885285635
2:5:1:2:1:2:2:3:4,0.402222631,2,5,1,2,1,2,2,3,4,0.272111696,0.96,0.142857143,0.387351701,0.16,0.36,0.44,0.59,0.677380807
2:5:1:5:2:2:3:3:4,0.528703779,2,5,1,5,2,2,3,3,4,0.221816161,1,0.142857143,1,0.24,0.28,0.48,0.58,0.825103974
3:3:1:2:1:2:1:2:4,0.306235941,3,3,1,2,1,2,1,2,4,0.450267483,0.56,0.057142857,0.267023311,1.00E-05,0.36,0.2,0.42,0.661433208
2:2:1:2:1:2:1:2:3,0.227258974,2,2,1,2,1,2,1,2,3,0.351418394,0.44,0.057142857,0.248404856,1.00E-05,0.36,0.08,0.27,0.523513188
2:4:1:5:1:1:3:2:3,0.194914179,2,4,1,5,1,1,3,2,3,0.249034275,0.68,0.057142857,1,0.16,1.00E-05,0.52,0.26,0.453689475
2:5:1:5:2:1:4:5:5,0.593574171,2,5,1,5,2,1,4,5,5,0.268600291,1,0.142857143,1,0.24,1.00E-05,0.76,1,0.925167311
2:5:1:3:1:3:2:3:4,0.417679846,2,5,1,3,1,3,2,3,4,0.251663486,0.96,0.114285714,0.530206821,0.04,0.56,0.36,0.45,0.670001134
1:5:1:2:1:1:4:2:4,0.379894385,1,5,1,2,1,1,4,2,4,0.201904782,0.96,0.057142857,0.339128807,1.00E-05,0.2,0.76,0.42,0.660602634
2:5:2:2:1:3:2:5:5,0.691325466,2,5,2,2,1,3,2,5,5,0.278947543,1,0.228571429,0.34611998,1.00E-05,0.64,0.36,0.95,0.964730381
2:5:1:5:1:4:1:3:5,0.624457172,2,5,1,5,1,4,1,3,5,0.249774046,1,0.142857143,1,0.16,0.72,0.12,0.63,0.884215178
1:5:1:2:1:2:4:4:4,0.414767499,1,5,1,2,1,2,4,4,4,0.170369809,1,0.057142857,0.226618222,1.00E-05,0.24,0.76,0.72,0.700723252
2:5:1:4:1:1:4:4:5,0.542691441,2,5,1,4,1,1,4,4,5,0.307379735,1,0.171428571,0.692982924,0.04,0.2,0.76,0.73,0.881118784
2:4:1:5:1:3:1:1:4,0.377697147,2,4,1,5,1,3,1,1,4,0.416187232,0.68,0.085714286,0.888307308,0.08,0.6,1.00E-05,0.15,0.663578619
2:5:1:3:1:2:3:3:4,0.395826041,2,5,1,3,1,2,3,3,4,0.297455827,1,0.142857143,0.649430451,0.08,0.28,0.64,0.58,0.705624963
2:4:1:5:2:2:1:1:5,0.639162365,2,4,1,5,2,2,1,1,5,0.430838272,0.68,0.171428571,1,0.28,0.4,1.00E-05,0.18,0.899686205
2:5:1:2:1:3:3:4:5,0.598538194,2,5,1,2,1,3,3,4,5,0.255119822,1,0.114285714,0.249983238,1.00E-05,0.52,0.48,0.74,0.923347178
2:5:1:3:1:4:2:2:4,0.438036945,2,5,1,3,1,4,2,2,4,0.230616021,1,0.114285714,0.507855541,1.00E-05,0.76,0.24,0.31,0.673558275
2:5:1:3:1:2:3:3:5,0.571496634,2,5,1,3,1,2,3,3,5,0.342260727,0.92,0.114285714,0.654989416,1.00E-05,0.28,0.64,0.57,0.916566126
2:3:1:2:1:1:3:2:3,0.170727915,2,3,1,2,1,1,3,2,3,0.424989636,0.48,0.028571429,0.233319514,1.00E-05,1.00E-05,0.48,0.25,0.511638587
1:5:1:3:1:3:2:3:4,0.45392709,1,5,1,3,1,3,2,3,4,0.197841368,0.96,0.085714286,0.475284513,1.00E-05,0.56,0.4,0.59,0.702973426
1:4:1:1:1:1:4:2:3,0.179950774,1,4,1,1,1,1,4,2,3,0.179146264,0.76,0.057142857,0.063780375,1.00E-05,1.00E-05,0.76,0.4,0.449183577
1:5:1:5:1:2:2:3:4,0.440157408,1,5,1,5,1,2,2,3,4,0.219820194,0.92,0.114285714,1,0.12,0.4,0.4,0.45,0.668943861
2:4:1:1:1:3:2:2:3,0.301416085,2,4,1,1,1,3,2,2,3,0.240607607,0.84,0.057142857,0.162011385,1.00E-05,0.6,0.24,0.29,0.551735032
3:2:1:3:1:1:1:2:4,0.304831535,3,2,1,3,1,1,1,2,4,0.531463832,0.32,0.057142857,0.636573998,0.16,1.00E-05,0.16,0.26,0.686778231
3:1:1:5:1:1:1:1:3,0.187350763,3,1,1,5,1,1,1,1,3,0.444402241,0.12,0.028571429,0.896756793,0.12,1.00E-05,1.00E-05,0.11,0.511133038
2:5:1:3:1:2:2:2:4,0.398830498,2,5,1,3,1,2,2,2,4,0.312942637,0.96,0.114285714,0.657044024,0.12,0.4,0.44,0.3,0.667043989
1:5:1:5:1:2:3:4:4,0.424708103,1,5,1,5,1,2,3,4,4,0.208329029,1,0.114285714,1,0.16,0.28,0.56,0.73,0.681861326
3:3:1:5:1:1:1:3:5,0.553585938,3,3,1,5,1,1,1,3,5,0.484558356,0.48,0.171428571,1,0.2,0.16,0.12,0.45,0.908943844
2:4:1:2:1:1:4:4:4,0.377261823,2,4,1,2,1,1,4,4,4,0.302111989,0.88,0.142857143,0.285463212,1.00E-05,0.12,0.76,0.72,0.696475188
2:5:1:4:1:3:1:2:5,0.691689529,2,5,1,4,1,3,1,2,5,0.292690482,0.92,0.171428571,0.763019315,0.12,0.64,0.16,0.37,0.903456635
