prob,size,demand,avg bags,winlen,dist,time,costDel,getRoutes,getCost,dels/route,loadFactor
A-n33-k5.vrp,33,446,13,1,1 Low,1 Low,4 V. High,3 High,4 V. High,2,34.30769231,
A-n33-k5.vrp,33,446,13,14,0 V. Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,6,89.2,
A-n33-k6.vrp,33,541,16,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,31.82352941,
A-n33-k6.vrp,33,541,16,1,3 High,1 Low,1 Low,1 Low,1 Low,3,49.18181818,
A-n33-k6.vrp,33,541,16,1,3 High,1 Low,1 Low,1 Low,1 Low,3,49.18181818,
A-n33-k6.vrp,33,541,16,1,3 High,0 V. Low,3 High,3 High,3 High,2,36.06666667,
A-n33-k6.vrp,33,541,16,1,3 High,0 V. Low,3 High,3 High,3 High,2,38.64285714,
A-n33-k6.vrp,33,541,16,1,3 High,0 V. Low,2 Medium,2 Medium,2 Medium,2,41.61538462,
A-n33-k6.vrp,33,541,16,1,2 Medium,0 V. Low,2 Medium,2 Medium,2 Medium,2,45.08333333,
A-n33-k6.vrp,33,541,16,1,2 Medium,0 V. Low,2 Medium,2 Medium,2 Medium,2,41.61538462,
A-n33-k6.vrp,33,541,16,1,2 Medium,1 Low,2 Medium,2 Medium,2 Medium,2,41.61538462,
A-n33-k6.vrp,33,541,16,1,2 Medium,3 High,0 V. Low,0 V. Low,0 V. Low,4,67.625,
A-n33-k6.vrp,33,541,16,1,2 Medium,4 V. High,0 V. Low,0 V. Low,0 V. Low,4,67.625,
A-n33-k6.vrp,33,541,16,1,0 V. Low,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,60.11111111,
A-n33-k6.vrp,33,541,16,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,49.18181818,
A-n33-k6.vrp,33,541,16,1,0 V. Low,2 Medium,1 Low,1 Low,1 Low,3,49.18181818,
A-n33-k6.vrp,33,541,16,1,0 V. Low,3 High,0 V. Low,0 V. Low,0 V. Low,3,60.11111111,
A-n33-k6.vrp,33,541,16,14,0 V. Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,5,90.16666667,
A-n34-k5.vrp,34,460,13,1,2 Medium,2 Medium,0 V. Low,0 V. Low,0 V. Low,4,57.5,
A-n34-k5.vrp,34,460,13,1,3 High,0 V. Low,2 Medium,3 High,2 Medium,2,35.38461538,
A-n34-k5.vrp,34,460,13,1,0 V. Low,4 V. High,3 High,2 Medium,3 High,3,41.81818182,
A-n34-k5.vrp,34,460,13,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,46,
A-n34-k5.vrp,34,460,13,1,2 Medium,0 V. Low,1 Low,2 Medium,1 Low,3,41.81818182,
A-n34-k5.vrp,34,460,13,1,3 High,0 V. Low,1 Low,2 Medium,1 Low,3,41.81818182,
A-n34-k5.vrp,34,460,13,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,46,
A-n34-k5.vrp,34,460,13,1,2 Medium,0 V. Low,2 Medium,3 High,2 Medium,2,35.38461538,
A-n34-k5.vrp,34,460,13,1,1 Low,1 Low,1 Low,2 Medium,1 Low,3,41.81818182,
A-n34-k5.vrp,34,460,13,1,1 Low,0 V. Low,2 Medium,2 Medium,2 Medium,2,38.33333333,
A-n34-k5.vrp,34,460,13,1,2 Medium,0 V. Low,2 Medium,2 Medium,2 Medium,2,38.33333333,
A-n34-k5.vrp,34,460,13,1,3 High,0 V. Low,3 High,3 High,3 High,2,32.85714286,
A-n34-k5.vrp,34,460,13,1,3 High,0 V. Low,4 V. High,4 V. High,4 V. High,2,28.75,
A-n34-k5.vrp,34,460,13,1,1 Low,1 Low,2 Medium,3 High,2 Medium,2,35.38461538,
A-n34-k5.vrp,34,460,13,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,38.33333333,
A-n34-k5.vrp,34,460,13,1,1 Low,1 Low,1 Low,2 Medium,1 Low,3,41.81818182,
A-n34-k5.vrp,34,460,13,1,2 Medium,0 V. Low,1 Low,1 Low,1 Low,3,46,
A-n34-k5.vrp,34,460,13,1,2 Medium,1 Low,0 V. Low,1 Low,0 V. Low,3,51.11111111,
A-n34-k5.vrp,34,460,13,1,2 Medium,1 Low,1 Low,2 Medium,1 Low,3,41.81818182,
A-n34-k5.vrp,34,460,13,1,4 V. High,0 V. Low,1 Low,2 Medium,1 Low,3,41.81818182,
A-n34-k5.vrp,34,460,13,1,4 V. High,0 V. Low,0 V. Low,1 Low,0 V. Low,3,51.11111111,
A-n34-k5.vrp,34,460,13,1,3 High,1 Low,0 V. Low,0 V. Low,0 V. Low,4,57.5,
A-n34-k5.vrp,34,460,13,1,4 V. High,0 V. Low,1 Low,1 Low,1 Low,3,46,
A-n34-k5.vrp,34,460,13,1,2 Medium,2 Medium,1 Low,1 Low,1 Low,3,51.11111111,
A-n34-k5.vrp,34,460,13,1,2 Medium,1 Low,0 V. Low,1 Low,0 V. Low,3,51.11111111,
A-n34-k5.vrp,34,460,13,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,4,57.5,
A-n34-k5.vrp,34,460,13,1,1 Low,2 Medium,1 Low,1 Low,1 Low,3,51.11111111,
A-n34-k5.vrp,34,460,13,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,92,
A-n34-k5.vrp,34,460,13,14,4 V. High,0 V. Low,4 V. High,0 V. Low,4 V. High,6,92,
A-n36-k5.vrp,36,442,12,1,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,3,36.83333333,
A-n36-k5.vrp,36,442,12,1,2 Medium,2 Medium,3 High,4 V. High,3 High,3,36.83333333,
A-n36-k5.vrp,36,442,12,1,3 High,1 Low,1 Low,3 High,1 Low,3,40.18181818,
A-n36-k5.vrp,36,442,12,1,3 High,1 Low,1 Low,1 Low,1 Low,3,44.2,
A-n36-k5.vrp,36,442,12,1,4 V. High,0 V. Low,1 Low,3 High,1 Low,3,40.18181818,
A-n36-k5.vrp,36,442,12,1,3 High,0 V. Low,2 Medium,4 V. High,2 Medium,3,36.83333333,
A-n36-k5.vrp,36,442,12,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,44.2,
A-n36-k5.vrp,36,442,12,1,3 High,1 Low,0 V. Low,0 V. Low,0 V. Low,4,49.11111111,
A-n36-k5.vrp,36,442,12,14,4 V. High,2 Medium,4 V. High,0 V. Low,4 V. High,7,88.4,
A-n36-k5.vrp,36,442,12,14,4 V. High,3 High,4 V. High,0 V. Low,4 V. High,7,88.4,
A-n36-k5.vrp,36,442,12,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,7,88.4,
A-n36-k5.vrp,36,442,12,14,4 V. High,0 V. Low,4 V. High,0 V. Low,4 V. High,7,88.4,
A-n37-k5.vrp,37,407,11,1,0 V. Low,4 V. High,3 High,2 Medium,3 High,2,29.07142857,
A-n37-k5.vrp,37,407,11,1,2 Medium,0 V. Low,1 Low,1 Low,1 Low,3,33.91666667,
A-n37-k5.vrp,37,407,11,1,2 Medium,0 V. Low,2 Medium,3 High,2 Medium,2,27.13333333,
A-n37-k5.vrp,37,407,11,1,2 Medium,0 V. Low,2 Medium,2 Medium,2 Medium,2,29.07142857,
A-n37-k5.vrp,37,407,11,1,2 Medium,0 V. Low,2 Medium,2 Medium,2 Medium,2,31.30769231,
A-n37-k5.vrp,37,407,11,1,2 Medium,0 V. Low,2 Medium,2 Medium,2 Medium,2,31.30769231,
A-n37-k5.vrp,37,407,11,1,0 V. Low,0 V. Low,1 Low,1 Low,1 Low,3,37,
A-n37-k5.vrp,37,407,11,1,0 V. Low,1 Low,0 V. Low,0 V. Low,0 V. Low,4,45.22222222,
A-n37-k5.vrp,37,407,11,1,0 V. Low,1 Low,0 V. Low,0 V. Low,0 V. Low,4,45.22222222,
A-n37-k5.vrp,37,407,11,1,1 Low,0 V. Low,1 Low,1 Low,1 Low,3,40.7,
A-n37-k5.vrp,37,407,11,1,1 Low,0 V. Low,2 Medium,2 Medium,2 Medium,2,31.30769231,
A-n37-k5.vrp,37,407,11,1,1 Low,0 V. Low,2 Medium,2 Medium,2 Medium,2,29.07142857,
A-n37-k5.vrp,37,407,11,1,1 Low,0 V. Low,1 Low,1 Low,1 Low,3,40.7,
A-n37-k5.vrp,37,407,11,1,1 Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,4,45.22222222,
A-n37-k5.vrp,37,407,11,1,0 V. Low,1 Low,0 V. Low,0 V. Low,0 V. Low,4,50.875,
A-n37-k5.vrp,37,407,11,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,21.42105263,
A-n37-k5.vrp,37,407,11,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,7,81.4,
A-n37-k5.vrp,37,407,11,14,4 V. High,0 V. Low,4 V. High,0 V. Low,4 V. High,7,81.4,
A-n37-k6.vrp,37,570,15,1,3 High,0 V. Low,3 High,3 High,3 High,2,38,
A-n37-k6.vrp,37,570,15,1,3 High,0 V. Low,4 V. High,4 V. High,4 V. High,2,33.52941176,
A-n37-k6.vrp,37,570,15,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,51.81818182,
A-n37-k6.vrp,37,570,15,1,2 Medium,1 Low,1 Low,2 Medium,1 Low,3,47.5,
A-n37-k6.vrp,37,570,15,1,4 V. High,1 Low,3 High,3 High,3 High,2,40.71428571,
A-n37-k6.vrp,37,570,15,1,1 Low,1 Low,0 V. Low,1 Low,0 V. Low,3,57,
A-n37-k6.vrp,37,570,15,1,0 V. Low,3 High,0 V. Low,0 V. Low,0 V. Low,4,63.33333333,
A-n37-k6.vrp,37,570,15,1,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,4,63.33333333,
A-n37-k6.vrp,37,570,15,1,1 Low,1 Low,1 Low,2 Medium,1 Low,3,47.5,
A-n37-k6.vrp,37,570,15,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,43.84615385,
A-n37-k6.vrp,37,570,15,1,1 Low,3 High,1 Low,1 Low,1 Low,3,57,
A-n37-k6.vrp,37,570,15,1,0 V. Low,3 High,1 Low,1 Low,1 Low,3,57,
A-n37-k6.vrp,37,570,15,1,1 Low,3 High,1 Low,1 Low,1 Low,3,57,
A-n37-k6.vrp,37,570,15,14,0 V. Low,0 V. Low,4 V. High,4 V. High,4 V. High,5,81.42857143,
A-n37-k6.vrp,37,570,15,14,4 V. High,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,95,
A-n37-k6.vrp,37,570,15,14,3 High,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,95,
A-n37-k6.vrp,37,570,15,14,4 V. High,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,95,
A-n38-k5.vrp,38,481,12,1,4 V. High,0 V. Low,3 High,4 V. High,3 High,2,28.29411765,
A-n38-k5.vrp,38,481,12,1,0 V. Low,4 V. High,4 V. High,3 High,4 V. High,2,30.0625,
A-n38-k5.vrp,38,481,12,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,40.08333333,
A-n38-k5.vrp,38,481,12,1,0 V. Low,1 Low,1 Low,1 Low,1 Low,3,40.08333333,
A-n38-k5.vrp,38,481,12,1,3 High,0 V. Low,0 V. Low,1 Low,0 V. Low,3,43.72727273,
A-n38-k5.vrp,38,481,12,1,2 Medium,0 V. Low,0 V. Low,0 V. Low,0 V. Low,3,48.1,
A-n38-k5.vrp,38,481,12,1,3 High,0 V. Low,1 Low,1 Low,1 Low,3,40.08333333,
A-n38-k5.vrp,38,481,12,1,2 Medium,1 Low,1 Low,1 Low,1 Low,3,43.72727273,
A-n38-k5.vrp,38,481,12,1,1 Low,0 V. Low,1 Low,1 Low,1 Low,3,40.08333333,
A-n38-k5.vrp,38,481,12,1,2 Medium,0 V. Low,1 Low,2 Medium,1 Low,2,37,
A-n38-k5.vrp,38,481,12,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,3,48.1,
A-n38-k5.vrp,38,481,12,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,3,48.1,
A-n38-k5.vrp,38,481,12,1,1 Low,1 Low,0 V. Low,0 V. Low,0 V. Low,3,48.1,
A-n38-k5.vrp,38,481,12,1,2 Medium,0 V. Low,1 Low,2 Medium,1 Low,2,37,
A-n38-k5.vrp,38,481,12,1,1 Low,1 Low,1 Low,2 Medium,1 Low,2,37,
A-n38-k5.vrp,38,481,12,1,2 Medium,1 Low,0 V. Low,1 Low,0 V. Low,3,43.72727273,
A-n38-k5.vrp,38,481,12,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,2,34.35714286,
A-n38-k5.vrp,38,481,12,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,43.72727273,
A-n38-k5.vrp,38,481,12,1,1 Low,1 Low,1 Low,1 Low,1 Low,3,40.08333333,
A-n38-k5.vrp,38,481,12,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,3,48.1,
A-n38-k5.vrp,38,481,12,14,0 V. Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,7,96.2,
A-n39-k5.vrp,39,475,12,1,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,2,33.92857143,
A-n39-k5.vrp,39,475,12,1,4 V. High,1 Low,0 V. Low,0 V. Low,0 V. Low,3,47.5,
A-n39-k5.vrp,39,475,12,1,1 Low,1 Low,0 V. Low,1 Low,0 V. Low,3,43.18181818,
A-n39-k5.vrp,39,475,12,1,2 Medium,0 V. Low,1 Low,2 Medium,1 Low,3,39.58333333,
A-n39-k5.vrp,39,475,12,1,2 Medium,0 V. Low,1 Low,3 High,1 Low,3,36.53846154,
A-n39-k5.vrp,39,475,12,1,2 Medium,0 V. Low,1 Low,3 High,1 Low,3,36.53846154,
A-n39-k5.vrp,39,475,12,1,2 Medium,0 V. Low,1 Low,2 Medium,1 Low,3,39.58333333,
A-n39-k5.vrp,39,475,12,1,2 Medium,0 V. Low,1 Low,3 High,1 Low,3,36.53846154,
A-n39-k5.vrp,39,475,12,1,2 Medium,0 V. Low,1 Low,2 Medium,1 Low,3,39.58333333,
A-n39-k5.vrp,39,475,12,1,2 Medium,0 V. Low,1 Low,2 Medium,1 Low,3,39.58333333,
A-n39-k5.vrp,39,475,12,1,2 Medium,0 V. Low,1 Low,3 High,1 Low,3,36.53846154,
A-n39-k5.vrp,39,475,12,1,2 Medium,0 V. Low,0 V. Low,1 Low,0 V. Low,3,43.18181818,
A-n39-k5.vrp,39,475,12,1,3 High,0 V. Low,1 Low,2 Medium,1 Low,3,39.58333333,
A-n39-k5.vrp,39,475,12,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,7,95,
A-n39-k5.vrp,39,475,12,14,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,6,79.16666667,
A-n39-k6.vrp,39,526,13,1,0 V. Low,4 V. High,3 High,2 Medium,3 High,2,32.875,
A-n39-k6.vrp,39,526,13,1,1 Low,0 V. Low,1 Low,1 Low,1 Low,3,47.81818182,
A-n39-k6.vrp,39,526,13,1,1 Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,4,58.44444444,
A-n39-k6.vrp,39,526,13,1,0 V. Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,3,52.6,
A-n39-k6.vrp,39,526,13,1,0 V. Low,1 Low,1 Low,1 Low,1 Low,3,47.81818182,
A-n39-k6.vrp,39,526,13,1,0 V. Low,2 Medium,2 Medium,1 Low,2 Medium,3,40.46153846,
A-n39-k6.vrp,39,526,13,1,0 V. Low,1 Low,1 Low,1 Low,1 Low,3,47.81818182,
A-n39-k6.vrp,39,526,13,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,25.04761905,
A-n39-k6.vrp,39,526,13,1,3 High,0 V. Low,2 Medium,2 Medium,2 Medium,2,32.875,
A-n39-k6.vrp,39,526,13,1,0 V. Low,1 Low,2 Medium,2 Medium,2 Medium,2,37.57142857,
A-n39-k6.vrp,39,526,13,14,4 V. High,0 V. Low,1 Low,0 V. Low,1 Low,6,87.66666667,
A-n39-k6.vrp,39,526,13,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,87.66666667,
A-n39-k6.vrp,39,526,13,14,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,5,75.14285714,
A-n44-k7.vrp,44,570,12,1,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,3,40.71428571,
A-n44-k7.vrp,44,570,12,1,4 V. High,0 V. Low,2 Medium,4 V. High,2 Medium,3,40.71428571,
A-n44-k7.vrp,44,570,12,1,2 Medium,0 V. Low,1 Low,1 Low,1 Low,3,47.5,
A-n44-k7.vrp,44,570,12,1,1 Low,1 Low,2 Medium,3 High,2 Medium,3,43.84615385,
A-n44-k7.vrp,44,570,12,1,1 Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,4,51.81818182,
A-n44-k7.vrp,44,570,12,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,7,95,
A-n44-k7.vrp,44,570,12,14,3 High,0 V. Low,4 V. High,4 V. High,4 V. High,6,81.42857143,
A-n44-k7.vrp,44,570,12,14,4 V. High,4 V. High,2 Medium,0 V. Low,2 Medium,7,95,
A-n45-k6.vrp,45,593,13,1,4 V. High,0 V. Low,4 V. High,4 V. High,4 V. High,1,24.70833333,
A-n45-k6.vrp,45,593,13,1,0 V. Low,3 High,0 V. Low,0 V. Low,0 V. Low,3,45.61538462,
A-n45-k6.vrp,45,593,13,1,1 Low,2 Medium,2 Medium,2 Medium,2 Medium,2,34.88235294,
A-n45-k6.vrp,45,593,13,1,2 Medium,2 Medium,2 Medium,2 Medium,2 Medium,2,32.94444444,
A-n45-k6.vrp,45,593,13,1,0 V. Low,4 V. High,1 Low,0 V. Low,1 Low,3,45.61538462,
A-n45-k6.vrp,45,593,13,1,1 Low,3 High,1 Low,1 Low,1 Low,3,39.53333333,
A-n45-k6.vrp,45,593,13,1,0 V. Low,3 High,1 Low,1 Low,1 Low,3,42.35714286,
A-n45-k6.vrp,45,593,13,1,1 Low,3 High,1 Low,1 Low,1 Low,3,39.53333333,
A-n45-k6.vrp,45,593,13,1,0 V. Low,4 V. High,1 Low,1 Low,1 Low,3,42.35714286,
A-n45-k6.vrp,45,593,13,1,0 V. Low,3 High,1 Low,1 Low,1 Low,3,42.35714286,
A-n45-k6.vrp,45,593,13,1,1 Low,3 High,1 Low,1 Low,1 Low,3,42.35714286,
A-n45-k6.vrp,45,593,13,1,1 Low,2 Medium,2 Medium,2 Medium,2 Medium,2,34.88235294,
A-n45-k6.vrp,45,593,13,1,2 Medium,2 Medium,2 Medium,2 Medium,2 Medium,2,31.21052632,
A-n45-k6.vrp,45,593,13,1,3 High,1 Low,1 Low,1 Low,1 Low,3,42.35714286,
A-n45-k6.vrp,45,593,13,1,4 V. High,1 Low,1 Low,1 Low,1 Low,2,37.0625,
A-n45-k6.vrp,45,593,13,1,4 V. High,1 Low,2 Medium,2 Medium,2 Medium,2,34.88235294,
A-n45-k6.vrp,45,593,13,1,3 High,1 Low,0 V. Low,0 V. Low,0 V. Low,3,45.61538462,
A-n45-k6.vrp,45,593,13,1,2 Medium,2 Medium,0 V. Low,0 V. Low,0 V. Low,3,49.41666667,
A-n45-k6.vrp,45,593,13,14,0 V. Low,4 V. High,0 V. Low,0 V. Low,0 V. Low,6,84.71428571,
A-n45-k6.vrp,45,593,13,14,4 V. High,0 V. Low,4 V. High,0 V. Low,4 V. High,6,84.71428571,
A-n45-k7.vrp,45,634,14,1,0 V. Low,4 V. High,4 V. High,4 V. High,4 V. High,2,37.29411765,
A-n45-k7.vrp,45,634,14,1,2 Medium,0 V. Low,2 Medium,3 High,2 Medium,3,42.26666667,
A-n45-k7.vrp,45,634,14,1,1 Low,1 Low,2 Medium,2 Medium,2 Medium,3,45.28571429,
A-n45-k7.vrp,45,634,14,1,0 V. Low,2 Medium,2 Medium,2 Medium,2 Medium,3,45.28571429,
A-n45-k7.vrp,45,634,14,1,1 Low,2 Medium,2 Medium,3 High,2 Medium,3,42.26666667,
A-n45-k7.vrp,45,634,14,1,1 Low,1 Low,3 High,3 High,3 High,2,39.625,
A-n45-k7.vrp,45,634,14,1,1 Low,2 Medium,2 Medium,3 High,2 Medium,3,42.26666667,
A-n45-k7.vrp,45,634,14,1,0 V. Low,3 High,2 Medium,3 High,2 Medium,3,42.26666667,
A-n45-k7.vrp,45,634,14,1,1 Low,1 Low,3 High,4 V. High,3 High,2,37.29411765,
A-n45-k7.vrp,45,634,14,1,1 Low,1 Low,3 High,4 V. High,3 High,2,37.29411765,
A-n45-k7.vrp,45,634,14,1,1 Low,2 Medium,2 Medium,3 High,2 Medium,3,42.26666667,
A-n45-k7.vrp,45,634,14,1,0 V. Low,3 High,1 Low,1 Low,1 Low,3,48.76923077,
A-n45-k7.vrp,45,634,14,1,4 V. High,0 V. Low,3 High,4 V. High,3 High,2,37.29411765,
A-n45-k7.vrp,45,634,14,1,3 High,1 Low,0 V. Low,0 V. Low,0 V. Low,4,57.63636364,
A-n45-k7.vrp,45,634,14,1,3 High,0 V. Low,0 V. Low,1 Low,0 V. Low,3,52.83333333,
A-n45-k7.vrp,45,634,14,1,4 V. High,0 V. Low,2 Medium,2 Medium,2 Medium,3,45.28571429,
A-n45-k7.vrp,45,634,14,1,4 V. High,0 V. Low,1 Low,1 Low,1 Low,3,52.83333333,
A-n45-k7.vrp,45,634,14,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,4,57.63636364,
A-n45-k7.vrp,45,634,14,1,3 High,1 Low,0 V. Low,1 Low,0 V. Low,3,52.83333333,
A-n45-k7.vrp,45,634,14,1,2 Medium,1 Low,0 V. Low,0 V. Low,0 V. Low,4,57.63636364,
A-n45-k7.vrp,45,634,14,1,3 High,0 V. Low,3 High,4 V. High,3 High,2,37.29411765,
A-n45-k7.vrp,45,634,14,1,1 Low,1 Low,0 V. Low,1 Low,0 V. Low,3,52.83333333,
A-n45-k7.vrp,45,634,14,1,2 Medium,0 V. Low,1 Low,1 Low,1 Low,3,48.76923077,
A-n45-k7.vrp,45,634,14,1,2 Medium,0 V. Low,1 Low,2 Medium,1 Low,3,45.28571429,
A-n45-k7.vrp,45,634,14,14,0 V. Low,0 V. Low,0 V. Low,0 V. Low,0 V. Low,6,90.57142857,
A-n46-k7.vrp,46,603,13,1,4 V. High,0 V. Low,2 Medium,3 High,2 Medium,3,40.2,
A-n46-k7.vrp,46,603,13,1,0 V. Low,4 V. High,4 V. High,3 High,4 V. High,2,37.6875,
A-n46-k7.vrp,46,603,13,1,2 Medium,2 Medium,1 Low,1 Low,1 Low,3,46.38461538,
A-n46-k7.vrp,46,603,13,1,2 Medium,2 Medium,1 Low,1 Low,1 Low,3,46.38461538,
A-n46-k7.vrp,46,603,13,1,2 Medium,1 Low,1 Low,2 Medium,1 Low,3,43.07142857,
A-n46-k7.vrp,46,603,13,1,2 Medium,1 Low,3 High,4 V. High,3 High,2,35.47058824,
A-n46-k7.vrp,46,603,13,1,2 Medium,1 Low,3 High,3 High,3 High,2,37.6875,
A-n46-k7.vrp,46,603,13,1,3 High,1 Low,2 Medium,3 High,2 Medium,3,40.2,
A-n46-k7.vrp,46,603,13,1,2 Medium,1 Low,2 Medium,3 High,2 Medium,2,37.6875,
A-n46-k7.vrp,46,603,13,1,2 Medium,1 Low,3 High,3 High,3 High,2,37.6875,
A-n46-k7.vrp,46,603,13,1,3 High,1 Low,2 Medium,2 Medium,2 Medium,3,43.07142857,
A-n46-k7.vrp,46,603,13,1,3 High,2 Medium,0 V. Low,0 V. Low,0 V. Low,4,54.81818182,
A-n46-k7.vrp,46,603,13,1,3 High,2 Medium,1 Low,1 Low,1 Low,3,50.25,
A-n46-k7.vrp,46,603,13,1,3 High,2 Medium,1 Low,1 Low,1 Low,3,50.25,
