0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n37-k6.vrp,n,6,obj0Min,2733.926906,obj0Max,3846.110629,obj1Min,2317,obj1Max,2546,obj2Min,3.169536477,obj2Max,4.189235139
D,2827.656342,T,2459,cBag=3.169536477263794,,,,,,,,,,,,
D,3757.812217,T,2361,cBag=4.18923513933757,,,,,,,,,,,,
D,3810.631051,T,2323,cBag=3.3235856719390586,,,,,,,,,,,,
D,3846.110629,T,2317,cBag=3.3287630589336517,,,,,,,,,,,,
D,2817.47715,T,2546,cBag=3.1979733798778476,,,,,,,,,,,,
D,2733.926906,T,2402,cBag=3.418016575529895,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n38-k5.vrp,n,2,obj0Min,2280.146507,obj0Max,2475.380255,obj1Min,2040,obj1Max,2170,obj2Min,3.209188128,obj2Max,3.448601125
D,2475.380255,T,2170,cBag=3.2091881284772152,,,,,,,,,,,,
D,2280.146507,T,2040,cBag=3.4486011254145117,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n39-k5.vrp,n,3,obj0Min,2614.988127,obj0Max,3653.48297,obj1Min,2143,obj1Max,2290,obj2Min,3.33263647,obj2Max,3.873805279
D,3653.48297,T,2143,cBag=3.8738052789334967,,,,,,,,,,,,
D,2614.988127,T,2290,cBag=3.679902338550808,,,,,,,,,,,,
D,2641.045497,T,2270,cBag=3.3326364698869693,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n39-k6.vrp,n,3,obj0Min,2412.631612,obj0Max,4941.188106,obj1Min,2144,obj1Max,2213,obj2Min,3.246304811,obj2Max,3.785017126
D,4941.188106,T,2144,cBag=3.785017126235909,,,,,,,,,,,,
D,2412.631612,T,2213,cBag=3.2488172977360157,,,,,,,,,,,,
D,2421.84898,T,2201,cBag=3.246304811113387,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n44-k7.vrp,n,3,obj0Min,2893.509402,obj0Max,4066.644862,obj1Min,2503,obj1Max,2547,obj2Min,3.213930877,obj2Max,3.996662078
D,4066.644862,T,2545,cBag=3.74174991020248,,,,,,,,,,,,
D,3978.610125,T,2503,cBag=3.996662078295742,,,,,,,,,,,,
D,2893.509402,T,2547,cBag=3.21393087732996,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n45-k6.vrp,n,3,obj0Min,3359.516597,obj0Max,4259.987936,obj1Min,2664,obj1Max,2945,obj2Min,3.592012549,obj2Max,3.944475422
D,4259.987936,T,2691,cBag=3.684011110569633,,,,,,,,,,,,
D,4224.563465,T,2664,cBag=3.9444754222574896,,,,,,,,,,,,
D,3359.516597,T,2945,cBag=3.5920125493938753,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n45-k7.vrp,n,2,obj0Min,3256.605742,obj0Max,3285.693103,obj1Min,2951,obj1Max,2965,obj2Min,3.34703923,obj2Max,3.347990683
D,3256.605742,T,2965,cBag=3.3470392300769545,,,,,,,,,,,,
D,3285.693103,T,2951,cBag=3.347990683060551,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n46-k7.vrp,n,1,obj0Min,3034.91405,obj0Max,3034.91405,obj1Min,2681,obj1Max,2681,obj2Min,3.381898746,obj2Max,3.381898746
D,3034.91405,T,2681,cBag=3.381898746073678,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n48-k7.vrp,n,2,obj0Min,3595.016176,obj0Max,3652.002998,obj1Min,3184,obj1Max,3188,obj2Min,3.524308135,obj2Max,3.795661902
D,3595.016176,T,3188,cBag=3.5243081351390515,,,,,,,,,,,,
D,3652.002998,T,3184,cBag=3.7956619022293197,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n53-k7.vrp,n,2,obj0Min,3845.183661,obj0Max,3858.352814,obj1Min,3392,obj1Max,3418,obj2Min,3.43046277,obj2Max,3.929949531
D,3845.183661,T,3418,cBag=3.929949530647899,,,,,,,,,,,,
D,3858.352814,T,3392,cBag=3.4304627699381225,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n54-k7.vrp,n,5,obj0Min,3933.909715,obj0Max,5100.224415,obj1Min,3219,obj1Max,3530,obj2Min,3.486696089,obj2Max,3.781154283
D,5100.224415,T,3422,cBag=3.630980951585527,,,,,,,,,,,,
D,4904.206969,T,3219,cBag=3.7811542830256313,,,,,,,,,,,,
D,4090.595587,T,3530,cBag=3.4866960892687513,,,,,,,,,,,,
D,3935.591058,T,3429,cBag=3.6745353569144306,,,,,,,,,,,,
D,3933.909715,T,3482,cBag=3.6900858544356083,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n55-k9.vrp,n,2,obj0Min,3727.629347,obj0Max,3728.495499,obj1Min,3292,obj1Max,3331,obj2Min,3.063926071,obj2Max,3.268572865
D,3727.629347,T,3331,cBag=3.268572864869345,,,,,,,,,,,,
D,3728.495499,T,3292,cBag=3.0639260707502767,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n60-k9.vrp,n,6,obj0Min,4704.706966,obj0Max,5878.77245,obj1Min,3952,obj1Max,4219,obj2Min,3.470668932,obj2Max,3.761419031
D,4769.098672,T,4216,cBag=3.4706689319955935,,,,,,,,,,,,
D,4767.23127,T,4219,cBag=3.471129141902452,,,,,,,,,,,,
D,5878.77245,T,3952,cBag=3.761419030974,,,,,,,,,,,,
D,4704.706966,T,4151,cBag=3.643728244935371,,,,,,,,,,,,
D,4799.026618,T,4212,cBag=3.4739277615400543,,,,,,,,,,,,
D,4824.434885,T,4184,cBag=3.470758602533263,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n61-k9.vrp,n,2,obj0Min,4033.887965,obj0Max,4041.057361,obj1Min,3500,obj1Max,3509,obj2Min,3.178309278,obj2Max,3.179395358
D,4033.887965,T,3509,cBag=3.1793953580408174,,,,,,,,,,,,
D,4041.057361,T,3500,cBag=3.178309278193436,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n62-k8.vrp,n,3,obj0Min,5208.589836,obj0Max,5706.564046,obj1Min,3917,obj1Max,4532,obj2Min,3.769533415,obj2Max,3.857851311
D,5255.685648,T,4494,cBag=3.8550003011859646,,,,,,,,,,,,
D,5208.589836,T,4532,cBag=3.8578513108077432,,,,,,,,,,,,
D,5706.564046,T,3917,cBag=3.7695334152832416,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n63-k9.vrp,n,4,obj0Min,5623.699649,obj0Max,6763.302745,obj1Min,4897,obj1Max,4953,obj2Min,3.761741191,obj2Max,3.906880207
D,5627.350939,T,4928,cBag=3.7617411911488805,,,,,,,,,,,,
D,5623.699649,T,4953,cBag=3.76697921979077,,,,,,,,,,,,
D,5631.610211,T,4927,cBag=3.7620829263551965,,,,,,,,,,,,
D,6763.302745,T,4897,cBag=3.90688020749656,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n63-k10.vrp,n,5,obj0Min,4665.948721,obj0Max,5860.160384,obj1Min,4167,obj1Max,4221,obj2Min,3.248354677,obj2Max,4.093389233
D,4703.13298,T,4186,cBag=3.248354676725424,,,,,,,,,,,,
D,4793.482013,T,4177,cBag=3.257765445846087,,,,,,,,,,,,
D,4748.158801,T,4178,cBag=3.2522903216325827,,,,,,,,,,,,
D,4665.948721,T,4221,cBag=3.6031287557980307,,,,,,,,,,,,
D,5860.160384,T,4167,cBag=4.093389232717209,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n64-k9.vrp,n,6,obj0Min,4831.837162,obj0Max,6002.853272,obj1Min,4195,obj1Max,4414,obj2Min,3.459256073,obj2Max,3.751572916
D,4911.531193,T,4414,cBag=3.4592560725648385,,,,,,,,,,,,
D,5067.437623,T,4413,cBag=3.480530898490963,,,,,,,,,,,,
D,4832.701166,T,4304,cBag=3.6158325901368213,,,,,,,,,,,,
D,4831.837162,T,4325,cBag=3.6206662122710647,,,,,,,,,,,,
D,4869.584158,T,4288,cBag=3.617147814312401,,,,,,,,,,,,
D,6002.853272,T,4195,cBag=3.751572916050281,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n65-k9.vrp,n,4,obj0Min,4768.020871,obj0Max,5841.299563,obj1Min,4025,obj1Max,4192,obj2Min,3.458677332,obj2Max,3.649097425
D,4768.020871,T,4192,cBag=3.649097425184448,,,,,,,,,,,,
D,4802.222393,T,4157,cBag=3.45867733175009,,,,,,,,,,,,
D,4786.17853,T,4168,cBag=3.4590454823733165,,,,,,,,,,,,
D,5841.299563,T,4025,cBag=3.5671973190574855,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n69-k9.vrp,n,7,obj0Min,4906.604714,obj0Max,6624.12086,obj1Min,3582,obj1Max,4273,obj2Min,3.451266279,obj2Max,4.012890994
D,5927.363399,T,4071,cBag=3.5310077132228397,,,,,,,,,,,,
D,5714.248107,T,3926,cBag=3.661262755619734,,,,,,,,,,,,
D,5634.321631,T,3915,cBag=3.84167530274498,,,,,,,,,,,,
D,5578.57171,T,3851,cBag=4.0128909941781234,,,,,,,,,,,,
D,6624.12086,T,3582,cBag=3.5117421782748335,,,,,,,,,,,,
D,4906.604714,T,4235,cBag=3.6225713036630967,,,,,,,,,,,,
D,5006.153893,T,4273,cBag=3.451266278642087,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,A-n80-k10.vrp,n,2,obj0Min,6693.507769,obj0Max,7375.646424,obj1Min,5406,obj1Max,5804,obj2Min,3.804607653,obj2Max,3.978928484
D,7375.646424,T,5406,cBag=3.97892848370635,,,,,,,,,,,,
D,6693.507769,T,5804,cBag=3.8046076528305437,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n31-k5.vrp,n,1,obj0Min,1298.206531,obj0Max,1298.206531,obj1Min,1299,obj1Max,1299,obj2Min,2.989539233,obj2Max,2.989539233
D,1298.206531,T,1299,cBag=2.9895392334139985,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n34-k5.vrp,n,1,obj0Min,1899.446596,obj0Max,1899.446596,obj1Min,1806,obj1Max,1806,obj2Min,3.070974293,obj2Max,3.070974293
D,1899.446596,T,1806,cBag=3.0709742926267634,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n35-k5.vrp,n,2,obj0Min,2745.643377,obj0Max,3222.652516,obj1Min,1868,obj1Max,2496,obj2Min,3.594165548,obj2Max,3.753867906
D,2745.643377,T,2496,cBag=3.7538679064424594,,,,,,,,,,,,
D,3222.652516,T,1868,cBag=3.5941655478630183,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n38-k6.vrp,n,4,obj0Min,2096.168853,obj0Max,2171.466436,obj1Min,1962,obj1Max,2038,obj2Min,3.171369129,obj2Max,3.517288586
D,2096.168853,T,2038,cBag=3.517288585617009,,,,,,,,,,,,
D,2098.057205,T,1981,cBag=3.1751419785705615,,,,,,,,,,,,
D,2107.187982,T,1966,cBag=3.1713691286432035,,,,,,,,,,,,
D,2171.466436,T,1962,cBag=3.184495259886667,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n39-k5.vrp,n,1,obj0Min,2022.272749,obj0Max,2022.272749,obj1Min,1800,obj1Max,1800,obj2Min,3.21955889,obj2Max,3.21955889
D,2022.272749,T,1800,cBag=3.219558890045227,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n41-k6.vrp,n,2,obj0Min,2419.584474,obj0Max,2469.450838,obj1Min,2267,obj1Max,2272,obj2Min,3.036140006,obj2Max,3.044666222
D,2469.450838,T,2267,cBag=3.0446662222293637,,,,,,,,,,,,
D,2419.584474,T,2272,cBag=3.03614000607218,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n43-k6.vrp,n,2,obj0Min,2184.607832,obj0Max,2206.053306,obj1Min,2035,obj1Max,2037,obj2Min,3.165274927,obj2Max,3.476005981
D,2206.053306,T,2035,cBag=3.165274926612473,,,,,,,,,,,,
D,2184.607832,T,2037,cBag=3.476005981389766,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n44-k7.vrp,n,1,obj0Min,2522.075778,obj0Max,2522.075778,obj1Min,2372,obj1Max,2372,obj2Min,2.991392927,obj2Max,2.991392927
D,2522.075778,T,2372,cBag=2.991392926795052,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n45-k5.vrp,n,9,obj0Min,2559.154172,obj0Max,3757.810853,obj1Min,2063,obj1Max,2305,obj2Min,3.245296894,obj2Max,4.370937782
D,3734.46813,T,2212,cBag=3.8340180476797587,,,,,,,,,,,,
D,3663.750909,T,2186,cBag=4.143742502832447,,,,,,,,,,,,
D,2574.949683,T,2305,cBag=3.2556977631531296,,,,,,,,,,,,
D,2586.446927,T,2273,cBag=3.245296893932229,,,,,,,,,,,,
D,2603.218253,T,2268,cBag=3.247276822189551,,,,,,,,,,,,
D,2559.154172,T,2301,cBag=3.587697609389584,,,,,,,,,,,,
D,2584.278266,T,2294,cBag=3.9283139035171972,,,,,,,,,,,,
D,3757.810853,T,2202,cBag=3.8355223658270132,,,,,,,,,,,,
D,3416.032156,T,2063,cBag=4.370937782355311,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n45-k6.vrp,n,3,obj0Min,2076.984588,obj0Max,2478.441833,obj1Min,1959,obj1Max,2216,obj2Min,2.900637997,obj2Max,3.29021486
D,2478.441833,T,2216,cBag=2.9006379973973417,,,,,,,,,,,,
D,2077.500748,T,1959,cBag=3.0116006545941816,,,,,,,,,,,,
D,2076.984588,T,1964,cBag=3.290214859536169,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n50-k7.vrp,n,1,obj0Min,2732.80037,obj0Max,2732.80037,obj1Min,2462,obj1Max,2462,obj2Min,3.21861682,obj2Max,3.21861682
D,2732.80037,T,2462,cBag=3.2186168197633704,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n50-k8.vrp,n,4,obj0Min,3370.713485,obj0Max,3514.448466,obj1Min,3070,obj1Max,3098,obj2Min,3.164589766,obj2Max,3.395999576
D,3450.764065,T,3096,cBag=3.176788293283546,,,,,,,,,,,,
D,3370.713485,T,3098,cBag=3.16458976570612,,,,,,,,,,,,
D,3514.448466,T,3091,cBag=3.185565265971258,,,,,,,,,,,,
D,3470.595624,T,3070,cBag=3.3959995755251287,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n51-k7.vrp,n,2,obj0Min,3608.776806,obj0Max,4755.056281,obj1Min,3090,obj1Max,3202,obj2Min,3.471676734,obj2Max,3.635002317
D,4755.056281,T,3090,cBag=3.635002317040371,,,,,,,,,,,,
D,3608.776806,T,3202,cBag=3.471676734438332,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n52-k7.vrp,n,1,obj0Min,2636.042468,obj0Max,2636.042468,obj1Min,2433,obj1Max,2433,obj2Min,3.206298628,obj2Max,3.206298628
D,2636.042468,T,2433,cBag=3.2062986283702366,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n56-k7.vrp,n,4,obj0Min,2989.969794,obj0Max,4108.106451,obj1Min,2480,obj1Max,2708,obj2Min,3.31075725,obj2Max,3.705207421
D,2993.223011,T,2699,cBag=3.5746868381304253,,,,,,,,,,,,
D,2989.969794,T,2708,cBag=3.3107572497846705,,,,,,,,,,,,
D,4054.767275,T,2480,cBag=3.705207420772603,,,,,,,,,,,,
D,4108.106451,T,2574,cBag=3.4796241148416933,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n57-k7.vrp,n,3,obj0Min,4651.186438,obj0Max,5124.103158,obj1Min,3478,obj1Max,4119,obj2Min,3.740487905,obj2Max,3.847192866
D,4693.106218,T,4102,cBag=3.847192865795391,,,,,,,,,,,,
D,5124.103158,T,3478,cBag=3.74048790464201,,,,,,,,,,,,
D,4651.186438,T,4119,cBag=3.8450341654029034,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n57-k9.vrp,n,3,obj0Min,4795.877982,obj0Max,5609.024604,obj1Min,4001,obj1Max,4336,obj2Min,3.613581842,obj2Max,3.651875316
D,5609.024604,T,4001,cBag=3.6518753159123727,,,,,,,,,,,,
D,4795.877982,T,4336,cBag=3.6168340272836783,,,,,,,,,,,,
D,4797.489056,T,4322,cBag=3.6135818424782866,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n63-k10.vrp,n,2,obj0Min,5275.641668,obj0Max,6165.709318,obj1Min,4406,obj1Max,4629,obj2Min,3.452331969,obj2Max,3.516906714
D,5275.641668,T,4629,cBag=3.4523319687604737,,,,,,,,,,,,
D,6165.709318,T,4406,cBag=3.516906713925817,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n64-k9.vrp,n,2,obj0Min,3355.463087,obj0Max,3853.692453,obj1Min,3052,obj1Max,3345,obj2Min,2.956585441,obj2Max,3.010238247
D,3355.463087,T,3052,cBag=3.0102382473693376,,,,,,,,,,,,
D,3853.692453,T,3345,cBag=2.956585440825535,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n66-k9.vrp,n,2,obj0Min,4757.461112,obj0Max,4846.096809,obj1Min,4260,obj1Max,4270,obj2Min,3.362361587,obj2Max,3.543116086
D,4757.461112,T,4270,cBag=3.543116086025442,,,,,,,,,,,,
D,4846.096809,T,4260,cBag=3.362361587303836,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n67-k10.vrp,n,1,obj0Min,4172.120854,obj0Max,4172.120854,obj1Min,3729,obj1Max,3729,obj2Min,3.168619779,obj2Max,3.168619779
D,4172.120854,T,3729,cBag=3.168619779386369,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n68-k9.vrp,n,1,obj0Min,4722.587579,obj0Max,4722.587579,obj1Min,4147,obj1Max,4147,obj2Min,3.414507463,obj2Max,3.414507463
D,4722.587579,T,4147,cBag=3.4145074632991217,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,B-n78-k10.vrp,n,5,obj0Min,5534.084416,obj0Max,6418.783805,obj1Min,4506,obj1Max,5026,obj2Min,3.504025735,obj2Max,4.349293358
D,5728.821485,T,4865,cBag=3.5040257350189954,,,,,,,,,,,,
D,5705.337739,T,5026,cBag=3.535458394260858,,,,,,,,,,,,
D,5598.886317,T,4787,cBag=3.646178974513904,,,,,,,,,,,,
D,5534.084416,T,4839,cBag=4.349293358227842,,,,,,,,,,,,
D,6418.783805,T,4506,cBag=3.5135514462638424,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n16-k8.vrp,n,1,obj0Min,687.8369299,obj0Max,687.8369299,obj1Min,742,obj1Max,742,obj2Min,6.26372732,obj2Max,6.26372732
D,687.8369299,T,742,cBag=6.263727320303475,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n19-k2.vrp,n,1,obj0Min,462.3887963,obj0Max,462.3887963,obj1Min,464,obj1Max,464,obj2Min,1.531933836,obj2Max,1.531933836
D,462.3887963,T,464,cBag=1.5319338360292007,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n20-k2.vrp,n,2,obj0Min,542.2536839,obj0Max,549.7381265,obj1Min,527,obj1Max,534,obj2Min,1.605546325,obj2Max,1.607237681
D,549.7381265,T,527,cBag=1.6055463251765225,,,,,,,,,,,,
D,542.2536839,T,534,cBag=1.6072376806800495,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n21-k2.vrp,n,1,obj0Min,534.6225873,obj0Max,534.6225873,obj1Min,515,obj1Max,515,obj2Min,1.656210882,obj2Max,1.656210882
D,534.6225873,T,515,cBag=1.6562108815981418,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n22-k2.vrp,n,1,obj0Min,565.5330143,obj0Max,565.5330143,obj1Min,539,obj1Max,539,obj2Min,1.629764165,obj2Max,1.629764165
D,565.5330143,T,539,cBag=1.6297641645388568,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n22-k8.vrp,n,3,obj0Min,960.1729075,obj0Max,1048.807307,obj1Min,984,obj1Max,1042,obj2Min,0.073027131,obj2Max,0.079447568
D,1048.807307,T,1042,cBag=0.07302713133183152,,,,,,,,,,,,
D,960.1729075,T,987,cBag=0.0793662324525403,,,,,,,,,,,,
D,980.9425742,T,984,cBag=0.07944756805261656,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n23-k8.vrp,n,1,obj0Min,905.7978851,obj0Max,905.7978851,obj1Min,917,obj1Max,917,obj2Min,5.64018643,obj2Max,5.64018643
D,905.7978851,T,917,cBag=5.64018642990901,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n40-k5.vrp,n,6,obj0Min,1452.943243,obj0Max,1481.281908,obj1Min,1330,obj1Max,1398,obj2Min,2.03771842,obj2Max,2.585104142
D,1471.941783,T,1368,cBag=2.0482478780835818,,,,,,,,,,,,
D,1481.281908,T,1330,cBag=2.037718419553064,,,,,,,,,,,,
D,1472.645315,T,1358,cBag=2.04514482494321,,,,,,,,,,,,
D,1457.136184,T,1350,cBag=2.304991801794929,,,,,,,,,,,,
D,1452.943243,T,1398,cBag=2.5851041415409037,,,,,,,,,,,,
D,1477.331127,T,1348,cBag=2.0427956988452562,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n45-k5.vrp,n,3,obj0Min,1826.252463,obj0Max,1865.452534,obj1Min,1662,obj1Max,1696,obj2Min,1.985632871,obj2Max,2.211086038
D,1865.452534,T,1679,cBag=1.9856328705575352,,,,,,,,,,,,
D,1826.252463,T,1662,cBag=2.2110860378731654,,,,,,,,,,,,
D,1859.207794,T,1696,cBag=1.9894903351558517,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n50-k7.vrp,n,1,obj0Min,1987.947848,obj0Max,1987.947848,obj1Min,1823,obj1Max,1823,obj2Min,1.835110303,obj2Max,1.835110303
D,1987.947848,T,1823,cBag=1.835110303040831,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n50-k8.vrp,n,2,obj0Min,1958.971451,obj0Max,2007.081083,obj1Min,1832,obj1Max,1871,obj2Min,2.192458977,obj2Max,2.350788286
D,1958.971451,T,1832,cBag=2.3507882858119435,,,,,,,,,,,,
D,2007.081083,T,1871,cBag=2.1924589765576465,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n50-k10.vrp,n,4,obj0Min,2093.84772,obj0Max,2184.478996,obj1Min,1970,obj1Max,2023,obj2Min,2.41870036,obj2Max,2.744668962
D,2093.84772,T,1986,cBag=2.7446689624158918,,,,,,,,,,,,
D,2184.478996,T,2023,cBag=2.418700360207342,,,,,,,,,,,,
D,2111.441973,T,1970,cBag=2.571018623366229,,,,,,,,,,,,
D,2099.235379,T,1970,cBag=2.7419669183351165,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
Grand front ,14,P-n51-k10.vrp,n,1,obj0Min,2106.695814,obj0Max,2106.695814,obj1Min,1996,obj1Max,1996,obj2Min,3.152745702,obj2Max,3.152745702
D,2106.695814,T,1996,cBag=3.1527457017849336,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,,,,,,,
