A-n45-k7.vrp	28486583.18	304533359.93		14			A-n45-k7.vrp	28486583.18	304533359.93	B-n51-k7.vrp	80913418.63	1237458484.65	P-n51-k10.vrp	302872561.37	1074205618.80
A-n46-k7.vrp	14666814.38	227240791.42		14			A-n46-k7.vrp	14666814.38	227240791.42	B-n52-k7.vrp	150186492.40	1477355180.57	P-n55-k10.vrp	206297440.17	900729939.61
A-n48-k7.vrp	58111619.51	470572617.44		14			A-n48-k7.vrp	58111619.51	470572617.44	B-n56-k7.vrp	138707414.84	1678312054.00	P-n55-k15.vrp	122658641.20	445873338.53
A-n53-k7.vrp	51315028.24	788772066.81		14			A-n53-k7.vrp	51315028.24	788772066.81	B-n57-k7.vrp	78099991.13	1415197827.97	P-n55-k7.vrp	221208916.28	1125247608.80
A-n54-k7.vrp	919684.00	218026760.45		14			A-n54-k7.vrp	919684.00	218026760.45	B-n57-k9.vrp	179095.81	210456495.34	P-n55-k8.vrp	294267537.60	1412450846.68
A-n55-k9.vrp	388731374.55	2086250047.70		14			A-n55-k9.vrp	388731374.55	2086250047.70	B-n63-k10.vrp	7353036.12	500063766.07	P-n60-k10.vrp	70780709.73	592887807.74
A-n60-k9.vrp	33729597.35	882780843.75		14			A-n60-k9.vrp	33729597.35	882780843.75	B-n64-k9.vrp	213509804.48	1486084700.03	P-n60-k15.vrp	123984468.97	578543415.20
A-n61-k9.vrp	185768292.67	1136710617.41		14			A-n61-k9.vrp	185768292.67	1136710617.41	B-n66-k9.vrp	978808.45	137921569.68	P-n65-k10.vrp	333703920.19	1454370582.40
A-n62-k8.vrp	14531571.02	671378901.06		14			A-n62-k8.vrp	14531571.02	671378901.06	B-n67-k10.vrp	125933698.30	1687842695.86	P-n70-k10.vrp	458585654.14	2130350790.72
A-n63-k10.vrp	51018026.76	991026453.03		14			A-n63-k10.vrp	51018026.76	991026453.03	B-n68-k9.vrp	36208047.72	1170142067.49	P-n76-k4.vrp	842479911.01	5479268836.07
A-n63-k9.vrp	2755857.25	588713349.73		14			A-n63-k9.vrp	2755857.25	588713349.73	B-n78-k10.vrp	110381637.71	2665343635.26	P-n76-k5.vrp	1298800874.29	5605323828.12
A-n64-k9.vrp	16109101.58	1137587812.90		14			A-n64-k9.vrp	16109101.58	1137587812.90				P-n101-k4.vrp	3505456163.26	23671250499.55
A-n65-k9.vrp	602775906.38	4214303618.30		14			A-n65-k9.vrp	602775906.38	4214303618.30						
A-n69-k9.vrp	357567159.85	2850098775.01		14			A-n69-k9.vrp	357567159.85	2850098775.01						
A-n80-k10.vrp	7116931.69	2628139734.41		14			A-n80-k10.vrp	7116931.69	2628139734.41						
B-n31-k5.vrp	626580.73	16943928.60		14											
B-n34-k5.vrp	1373133.26	69305517.30		14											
B-n35-k5.vrp	18278241.50	352172006.45		14											
B-n38-k6.vrp	10527863.68	164859336.59		14											
B-n39-k5.vrp	78119314.52	742028589.90		14											
B-n41-k6.vrp	63198908.57	567392511.28		14											
B-n43-k6.vrp	11035462.28	145484583.19		14											
B-n44-k7.vrp	30823745.02	412545171.83		14											
B-n45-k5.vrp	227227997.65	1429407150.79		14											
B-n45-k6.vrp	34006887.94	282818742.57		14											
B-n50-k7.vrp	380344198.02	2346931377.73		14											
B-n50-k8.vrp	17684884.74	274803471.24		14											
B-n51-k7.vrp	80913418.63	1237458484.65		14											
B-n52-k7.vrp	150186492.40	1477355180.57		14											
B-n56-k7.vrp	138707414.84	1678312054.00		14											
B-n57-k7.vrp	78099991.13	1415197827.97		14											
B-n57-k9.vrp	179095.81	210456495.34		14											
B-n63-k10.vrp	7353036.12	500063766.07		14											
B-n64-k9.vrp	213509804.48	1486084700.03		14											
B-n66-k9.vrp	978808.45	137921569.68		14											
B-n67-k10.vrp	125933698.30	1687842695.86		14											
B-n68-k9.vrp	36208047.72	1170142067.49		14											
B-n78-k10.vrp	110381637.71	2665343635.26		14											
P-n101-k4.vrp	3505456163.26	23671250499.55		14											
P-n16-k8.vrp	779011.02	2270002.16		14											
P-n19-k2.vrp	548451.32	5386206.60		14											
P-n20-k2.vrp	899673.17	9758862.52		14											
P-n21-k2.vrp	1208400.01	15169884.04		14											
P-n22-k2.vrp	974258.69	13322995.02		14											
P-n22-k8.vrp	1737964.82	4140745.73		14											
P-n23-k8.vrp	2861400.58	12641747.50		14											
P-n40-k5.vrp	120666143.37	433630271.34		14											
P-n45-k5.vrp	75410670.59	398402056.17		14											
P-n50-k10.vrp	180491591.76	606825458.17		14											
P-n50-k7.vrp	166704781.19	688318656.74		14											
P-n50-k8.vrp	122017987.67	478565685.17		14											
P-n51-k10.vrp	302872561.37	1074205618.80		14											
P-n55-k10.vrp	206297440.17	900729939.61		14											
P-n55-k15.vrp	122658641.20	445873338.53		14											
P-n55-k7.vrp	221208916.28	1125247608.80		14											
P-n55-k8.vrp	294267537.60	1412450846.68		14											
P-n60-k10.vrp	70780709.73	592887807.74		14											
P-n60-k15.vrp	123984468.97	578543415.20		14											
P-n65-k10.vrp	333703920.19	1454370582.40		14											
P-n70-k10.vrp	458585654.14	2130350790.72		14											
P-n76-k4.vrp	842479911.01	5479268836.07		14											
P-n76-k5.vrp	1298800874.29	5605323828.12		14											
															
															
															
															
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
	0.00	0.00													
